color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;GatersTaters;XBox;4fc0b7dbf9010900;4284;Fennec;461;527;1;0;3;4;6;2;1;25;291;48.03;2230;1432;798;17;68;696;451;245;5;21;44.66;50.68;211;286;56;1321;572752;259.89;56.66;181.81;39.64;16.98;3.7;291.92;63.64;152.47;33.24;14.28;3.11;4.92;0.2;25;185;257.7;2007;1872;2124;2703;317.19;69.15;141.48;30.85;311.34;67.88;147.34;32.12;253.76;55.33;108.21;23.59;96.7;21.08;2;0
blue;;st33p_fn;PS4;st33p_fn;4284;Fennec;461;515;2;0;1;3;6;2;1;66.67;421;48;3112;2229;883;27;70;367;181;186;2;17;52.29;68.72;586;481;18;1376;598244;258.35;56.47;157.56;34.44;41.6;9.09;282.52;61.75;159.62;34.89;15.37;3.36;4.64;0.15;32;258.3;184.1;2317;2312;2312;2703;343.72;75.13;113.79;24.87;325.89;71.23;131.63;28.77;256.28;56.02;131.06;28.65;70.17;15.34;1;1
orange;;Midztral;PS4;Midztral;23;Octane;461;666;1;1;4;3;7;3;1;33.33;328;55.78;2422;2020;402;25;38;382;287;95;3;10;23.87;68.91;336;507;25;1412;608355;249.65;54.98;156.58;34.48;47.88;10.54;290.89;64.06;157.23;34.62;6;1.32;6.07;0.15;41;230.2;213.8;2645;2264;2966;3087;354.8;78.13;99.32;21.87;265.36;58.43;188.76;41.57;178.82;39.38;164.32;36.18;110.98;24.44;0;2
orange;;unyotyan;Steam;76561198032275645;23;Octane;461;322;1;0;0;3;7;3;2;33.33;247;39.13;1909;898;1011;11;90;376;0;376;0;34;68.85;38.3;296;182;0;1427;618369;245.48;53.67;172.63;37.74;39.3;8.59;273.54;59.8;173.59;37.95;10.29;2.25;14.56;0.13;113;218.9;227.3;2448;2241;2544;3087;318.66;69.66;138.76;30.34;239.6;52.38;217.82;47.62;165.24;36.12;170.19;37.21;121.99;26.67;1;1
