color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;TTV-faze_gromit;PS4;TTV-faze_gromit;23;Octane;333;516;1;1;2;2;5;1;1;50;384;51.35;2196;1729;467;21;41;433;269;164;4;14;40.5;70.68;746;394;134;1419;442551;176.08;53.77;119.18;36.4;32.19;9.83;208.38;63.64;108.7;33.19;10.38;3.17;0.77;0.13;6;153.8;173.9;2247;1815;2607;3700;212.92;65.02;114.53;34.98;182.21;55.64;145.25;44.36;128.78;39.33;103.66;31.66;95.02;29.02;3;2
blue;;ZestyPotatos634;XBox;497da907fe010900;9088;Porsche 911 Turbo;333;308;1;1;1;2;5;1;0;50;341;40.82;1755;1237;518;16;43;334;141;193;2;16;77.68;39.48;625;362;58;1424;447777;163.55;49.5;133.57;40.43;33.29;10.08;228.63;69.2;90.84;27.49;10.94;3.31;2.17;0.36;6;187.3;153.5;3165;3376;2958;3700;229.95;69.6;100.45;30.4;188.29;56.99;142.11;43.01;148.43;44.92;82.8;25.06;99.17;30.02;0;1
orange;;ASBRANDONAS;Epic;0f90d32269264862ad146ae034881988;4284;Fennec;333;347;1;0;1;4;4;2;1;25;393;54.57;2224;1898;326;24;31;358;243;115;3;12;41.42;47.71;356;494;67;1471;427929;158.77;48.44;117.77;35.93;51.21;15.62;173.63;52.98;140.55;42.88;13.57;4.14;2.55;0.1;25;141.7;210.2;2248;2295;2330;3178;210.17;64.13;117.58;35.87;215.02;65.6;112.73;34.4;172.01;52.48;86.75;26.47;68.99;21.05;1;2
orange;;moreanimals;Epic;90f124770446450984b4a669103abce3;6836;Ford Mustang Shelby GT350R RLE;333;287;0;0;1;1;4;2;1;0;298;43.52;1581;1019;562;13;48;230;74;156;1;13;39.17;18.43;302;254;0;1370;400731;194.22;58.87;114.96;34.85;20.73;6.28;226.84;68.76;99.19;30.07;3.88;1.18;4.83;0.17;29;216.3;139;2675;2386;2997;3178;258.84;78.46;71.08;21.54;247.69;75.08;82.22;24.92;199.06;60.34;80.94;24.53;49.92;15.13;2;1
