color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Sheebr;XBox;3902090700000900;403;Dominus;390;884;4;0;1;5;10;4;3;80;341;43.45;1959;1458;501;16;47;148;71;77;1;8;38.95;33.68;148;173;28;1422;486656;205.67;52.84;158.93;40.84;24.6;6.32;246.56;63.35;127.86;32.85;14.76;3.79;1.39;0.23;6;200.2;165.4;3020;2805;3243;3708;310.88;79.88;78.31;20.12;291.34;74.86;97.85;25.14;225.83;58.03;117.34;30.15;46.02;11.82;2;0
blue;;HomiE;Steam;76561198167303800;1894;Samurai;390;285;1;0;2;1;10;4;1;100;385;48.76;2772;2170;602;27;54;328;199;129;2;11;50.54;36.05;750;378;0;1558;535238;173.33;44.89;140.86;36.48;71.9;18.62;232.81;60.3;151.54;39.25;1.74;0.45;12.23;0.12;100;170.1;201;2915;2887;2912;3708;265.84;68.85;120.25;31.15;276.66;71.66;109.44;28.34;221.1;57.27;100.78;26.1;64.21;16.63;2;1
orange;;chiinzy;Steam;76561198277234281;4284;Fennec;390;549;3;0;0;5;6;5;1;60;471;51.73;2844;2150;694;25;54;559;250;309;3;20;46.11;30.12;367;368;57;1440;495066;199.36;52.31;150.29;39.43;31.46;8.25;240.91;63.21;127.15;33.36;13.06;3.43;9.1;0.13;70;182.8;184.2;2624;2328;2956;3583;264.71;69.46;116.41;30.54;237.06;62.2;144.06;37.8;176.09;46.2;120.97;31.74;84.06;22.06;0;2
orange;;hewiQz;Epic;15b56f3ebc6a4ebb99aabf18c774fdb3;23;Octane;390;531;1;1;1;5;6;5;4;20;475;50.39;2930;2315;615;27;60;369;175;194;2;18;56.19;25.15;464;374;28;1551;533001;167.15;44.01;152.85;40.24;59.8;15.75;227.44;59.88;140.18;36.91;12.18;3.21;7.16;0.1;73;185.4;178.2;2547;2196;2938;3583;265.93;70.02;113.86;29.98;229.97;60.55;149.82;39.45;173.89;45.79;107.4;28.28;98.5;25.94;1;2
