color,player name,platform,player id,car id,car name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,goals conceded while last defender,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,avg speed,total distance,time slow speed,percentage slow speed,time boost speed,percentage boost speed,time supersonic speed,percentage supersonic speed,time on ground,percentage on ground,time low in air,percentage low in air,time high in air,percentage high in air,time powerslide,avg powerslide time,count powerslide,time most back,time most forward,avg distance to ball,avg distance to ball has possession,avg distance to ball no possession,avg distance to team mates,time behind ball,percentage behind ball,time in front of ball,percentage in front of ball,time defensive half,percentage defensive half,time offensive half,percentage offensive half,time defensive third,percentage defensive third,time neutral third,percentage neutral third,time offensive third,percentage offensive third,demos inflicted,demos taken,rank
blue,Kosmokz,Epic,04e614cdcaa6449b966cf22f24703c59,23,Octane,371,499,1,3,1,2,6,3,2,50,192,37.32,1067,609,458,8,38,84,0,84,0,7,74.55,32.38,80,190,0,1202,406731,262.31,70.92,99.68,26.95,7.87,2.13,248.69,67.24,114.93,31.07,6.24,1.69,0,0,0,197.9,173.2,2412,2410,2412,2501,265.71,71.84,104.15,28.16,271.19,73.32,98.68,26.68,215.31,58.21,112.34,30.37,42.22,11.41,0,0,gold
orange,geppetto_pelato,PS4,geppetto_pelato,4284,Fennec,371,376,1,1,1,2,5,4,2,50,323,49.28,2010,1497,513,18,45,457,274,183,3,16,69.97,27.45,543,305,25,1360,460516,206.78,55.93,128.27,34.69,34.69,9.38,222.42,60.16,146.35,39.58,0.96,0.26,3.19,0.46,7,177.5,172.9,2005,1902,2121,2392,262.3,70.94,107.43,29.06,190.31,51.47,179.42,48.53,142.4,38.51,102.15,27.63,125.18,33.86,0,0,gold
orange,Hudson__80,PS4,Hudson__80,4284,Fennec,371,372,2,0,0,4,5,4,2,50,338,43.54,1982,1668,314,20,26,662,566,96,6,8,84.86,37.66,327,243,33,1351,457931,208.83,56.25,135.62,36.53,26.8,7.22,225.09,60.63,140.92,37.96,5.24,1.41,0,0,0,178,175.1,1981,1832,2096,2392,260.17,70.08,111.08,29.92,196.4,52.9,174.85,47.1,144.43,38.9,103.28,27.82,123.54,33.28,0,0,gold
blue,12345,Psynet,e1ddc5f6a199f97a,403,Dominus,135,186,1,0,0,1,2,2,1,100,488,37.53,1050,812,238,9,20,212,91,121,1,10,34.19,13.73,157,87,8,1519,181459,64.34,47.58,58.4,43.19,12.49,9.24,85.39,63.14,45.17,33.4,4.67,3.45,2.03,0.34,6,55.4,67.7,2556,2152,2915,2868,91.1,67.36,44.14,32.64,89.55,66.22,45.68,33.78,72.7,53.76,31.68,23.43,30.85,22.81,0,0,gold
blue,AseednZome,Psynet,44e150dfed3f92ea,4284,Fennec,135,90,0,1,0,1,2,2,1,0,230,44.92,551,320,231,4,20,79,0,79,0,7,27.04,21.67,92,85,5,1429,171913,72.4,53.52,55.59,41.1,7.28,5.38,88.22,65.22,39.55,29.24,7.49,5.54,1.09,0.54,2,68.4,55,2172,2492,1983,2868,105,77.62,30.27,22.38,86.44,63.9,48.83,36.1,64.7,47.83,44.97,33.24,25.6,18.93,0,0,gold
orange,KuroKep,Epic,e97cbdbe0fd245bbab068b2379b86135,23,Octane,135,270,1,1,0,1,2,1,0,100,345,46.99,962,798,164,9,15,238,166,72,2,7,10.47,25.78,20,72,38,1571,186888,61.51,45.5,53.68,39.71,20,14.79,63.46,46.94,56.71,41.95,15.03,11.12,2.12,0.08,25,64.2,64.9,1955,1283,2827,3572,102.13,75.55,33.06,24.45,86.64,64.08,48.56,35.92,68.28,50.5,34.75,25.7,32.17,23.79,0,0,gold
orange,RL DADLESS,Epic,1fe7e6dce31b45e984f89663f6bba597,23,Octane,135,148,1,0,0,1,2,1,1,100,367,45.2,897,621,276,7,24,159,100,59,1,5,17.86,27.54,86,91,1,1610,187829,63.5,46.94,47.63,35.21,24.14,17.85,84.94,62.8,47.64,35.22,2.68,1.98,0.99,0.07,14,62.9,64.6,3389,3616,2939,3572,101.66,75.15,33.61,24.85,93.74,69.3,41.53,30.7,79.61,58.86,26.38,19.5,29.27,21.64,0,0,gold
blue,Stumandoo1,Epic,ef7ed0b6ee3547f69c918f17c2b13767,23,Octane,334,572,3,0,1,4,5,1,1,75,355,54.37,1935,1736,199,23,17,173,58,115,1,10,17.98,78.95,919,570,47,1460,453605,155.62,46.55,141.92,42.46,36.74,10.99,215.12,64.36,108.58,32.48,10.57,3.16,2.5,0.5,5,188.2,136.2,2714,3222,2199,3112,272.81,81.61,61.47,18.39,200.62,60.02,133.65,39.98,153.48,45.91,103.07,30.83,77.73,23.25,0,0,gold
blue,GalaxyVortexGod;Epic;30520a0843d642659008c8e7cb7fe89b;10805,GalaxyVortexGod,Epic,30520a0843d642659008c8e7cb7fe89b,10805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold
orange,duhhbzz;Steam;76561198040320423;11603,duhhbzz,Steam,76561198040320423,11603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold
orange,Cresinloki,XBox,86c98b2bf8010900,4284,Fennec,334,266,1,0,0,2,7,4,3,50,244,49.58,1237,830,407,12,37,257,80,177,1,16,29.51,39.32,488,381,24,1303,404374,210.99,63.19,95.47,28.59,27.44,8.22,206.35,61.8,115.54,34.6,12.01,3.6,0,0,0,168.8,149.4,2324,1952,2573,2912,233.44,69.91,100.47,30.09,214.04,64.1,119.86,35.9,185.41,55.53,61.79,18.51,86.7,25.97,1,0,gold
blue,Kosmokz,Epic,04e614cdcaa6449b966cf22f24703c59,23,Octane,239,270,1,0,0,3,3,3,2,33.33,149,44.91,542,134,408,4,34,156,0,156,0,13,8.18,15.1,0,190,0,1213,268159,177.33,74.26,55.71,23.33,5.75,2.41,156.63,65.59,79.41,33.25,2.76,1.16,0,0,0,108.1,121.7,2436,2355,2416,3174,188.2,78.81,50.6,21.19,122.35,51.24,116.44,48.76,79,33.08,91.15,38.17,68.65,28.75,0,0,gold
blue,****************,PS4,****************,4284,Fennec,239,141,0,0,1,0,3,3,1,0,322,56.41,1300,1091,209,15,18,255,160,95,3,8,12.25,47.19,448,408,140,1367,301920,133.32,55.82,86.6,36.26,18.91,7.92,173.24,72.54,56.5,23.66,9.08,3.8,0.86,0.86,1,126.4,102.9,2719,2449,3052,3174,175.61,73.53,63.22,26.47,140.7,58.91,98.12,41.09,98.34,41.18,81.33,34.05,59.15,24.77,0,0,gold
orange,SENTH_IV4N,PS4,SENTH_IV4N,4284,Fennec,239,342,2,0,0,2,3,1,0,100,284,47.82,1057,866,191,12,17,173,100,73,1,7,31.41,43.33,308,334,0,1295,277020,156.04,65.37,69.17,28.98,13.5,5.66,162.69,68.15,67.51,28.28,8.51,3.56,0.49,0.49,1,127.4,105.6,2271,2266,2160,2699,171.8,71.97,66.91,28.03,181.29,75.95,57.42,24.05,156.97,65.75,50.58,21.19,31.17,13.06,0,0,gold
orange,AGEENTWAVIES,XBox,ced4178af3010900,23,Octane,239,212,1,0,0,1,3,1,1,100,194,50.77,635,308,327,4,28,166,100,66,1,6,31.26,7.41,72,101,5,1156,250046,162.68,68.37,66.49,27.94,8.78,3.69,152.9,64.26,79.19,33.28,5.86,2.46,2.61,0.44,6,115.8,128.2,2312,2348,2229,2699,168.06,70.63,69.89,29.37,168.3,70.73,69.65,29.27,140.52,59.05,62.6,26.31,34.83,14.64,0,0,gold
