color,player name,platform,player id,car id,car name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,goals conceded while last defender,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,avg speed,total distance,time slow speed,percentage slow speed,time boost speed,percentage boost speed,time supersonic speed,percentage supersonic speed,time on ground,percentage on ground,time low in air,percentage low in air,time high in air,percentage high in air,time powerslide,avg powerslide time,count powerslide,time most back,time most forward,avg distance to ball,avg distance to ball has possession,avg distance to ball no possession,avg distance to team mates,time behind ball,percentage behind ball,time in front of ball,percentage in front of ball,time defensive half,percentage defensive half,time offensive half,percentage offensive half,time defensive third,percentage defensive third,time neutral third,percentage neutral third,time offensive third,percentage offensive third,demos inflicted,demos taken,rank
orange,Gonzalez,Steam,76561198222116968,4284,Fennec,378,513,2,1,1,3,8,4,0,66.67,555,53.05,3586,2714,872,36,83,738,491,247,6,25,24.5,17.77,945,832,100,1832,638346,112.47,29.73,111.48,29.46,154.41,40.81,171.53,45.34,181.42,47.95,25.41,6.72,8.73,0.09,92,152.6,195.9,2595,2395,2685,2936,266.82,70.52,111.54,29.48,226.09,59.76,152.27,40.24,166.8,44.09,120.1,31.74,91.45,24.17,2,0,supersonic
blue,boacito.,Steam,76561199057556488,4284,Fennec,388,673,3,0,1,5,13,6,3,60,454,52.34,2811,1937,874,23,78,700,449,251,5,24,33.7,29.7,405,279,58,1646,564298,149.86,39.32,149.53,39.24,81.72,21.44,208.89,54.81,149.96,39.35,22.26,5.84,7.99,0.08,104,179.8,176.3,2496,2123,2815,2959,290.93,76.34,90.19,23.66,239.95,62.96,141.17,37.04,176.6,46.34,122.34,32.1,82.18,21.56,3,2,supersonic
blue,GaspowRL,Epic,af61e72a6f75492ca1cd31c85c195e1f,4284,Fennec,388,634,1,2,3,9,13,6,3,11.11,426,45.74,2711,2058,653,24,58,574,363,211,4,20,47.77,30.49,351,349,45,1604,551330,161.22,42.39,158.43,41.65,60.71,15.96,210.46,55.33,142.89,37.57,27.02,7.1,5.16,0.16,32,181.8,174.4,2336,2278,2392,2959,295.88,77.79,84.48,22.21,243.73,64.08,136.63,35.92,184.04,48.39,119.02,31.29,77.3,20.32,1,2,supersonic
orange,J,Steam,76561198807532049,4284,Fennec,388,1038,1,3,6,7,14,4,2,14.29,438,46.5,3002,2131,871,25,68,608,287,321,3,21,41.18,35.75,452,399,12,1601,538072,152.43,40.8,163.35,43.73,57.79,15.47,184.13,49.29,160.64,43,28.79,7.71,4.93,0.07,67,181.8,168.6,2232,1830,2598,2994,300.89,80.55,72.67,19.45,241.84,64.74,131.72,35.26,182.35,48.81,121.95,32.64,69.27,18.54,1,4,supersonic
orange,sp!nny.,Steam,76561199022871995,4284,Fennec,388,964,5,1,3,6,14,4,2,83.33,429,43.26,2672,1867,805,21,72,153,0,153,0,14,62.65,26.61,238,259,0,1651,577431,145.8,37.67,167.19,43.2,74.04,19.13,185.16,47.84,187.87,48.54,14,3.62,7.81,0.09,86,180.1,182.6,2539,2354,2712,2994,291.2,75.24,95.83,24.76,267.57,69.13,119.46,30.87,191.34,49.44,130.08,33.61,65.61,16.95,3,0,supersonic
blue,Kayzounet   ,Steam,76561199189710595,4284,Fennec,328,640,1,1,4,3,6,0,0,33.33,469,51.56,2652,1975,677,24,63,487,288,199,4,18,37.26,39.35,391,452,113,1593,484512,127.62,40.4,122.41,38.75,65.84,20.84,168.36,53.3,132.35,41.9,15.16,4.8,7.93,0.1,78,195.4,132.4,2368,2177,2571,3189,262.27,83.03,53.6,16.97,210.28,66.57,105.59,33.43,147.99,46.85,110.37,34.94,57.51,18.21,0,4,supersonic
blue,zentox,Steam,76561198886854026,4284,Fennec,328,478,1,0,2,4,6,0,0,25,459,42.21,2603,1986,617,23,54,233,83,150,1,13,48.15,44.37,483,326,16,1594,493295,127.68,39.66,125.33,38.93,68.89,21.4,162.8,50.57,144.04,44.75,15.06,4.68,2.13,0.13,17,141.5,191.8,2349,2372,2294,3189,241.57,75.05,80.33,24.95,188.93,58.69,132.97,41.31,126.98,39.45,127.49,39.6,67.44,20.95,1,2,supersonic
orange,maanu,Epic,8517bd35156e4e828ff2bee387ccbac0,4284,Fennec,328,421,0,0,3,4,7,2,1,0,446,51.74,2343,1481,862,19,80,374,158,216,2,19,47.08,47.17,391,429,49,1690,529489,106.94,32.92,138.92,42.76,79.01,24.32,173.33,53.35,132.71,40.85,18.83,5.8,5.3,0.07,74,176.2,145.5,1994,1690,2208,2501,235.58,72.52,89.29,27.48,202.09,62.21,122.78,37.79,141.99,43.71,117.18,36.07,65.7,20.22,2,1,supersonic
orange,GoldNiNja,Steam,76561198294115607,4284,Fennec,328,190,0,0,1,2,7,2,1,0,413,48.93,2269,1443,826,21,78,453,126,327,2,30,29.21,37.44,260,569,77,1652,522508,109.7,33.46,160.4,48.92,57.76,17.62,181.14,55.25,141.76,43.24,4.97,1.52,4.13,0.09,44,145.8,179.6,2003,1615,2306,2501,213.68,65.17,114.19,34.83,197.67,60.29,130.2,39.71,142.43,43.44,108.64,33.14,76.8,23.42,4,0,supersonic
blue,Scrafinha,Steam,76561198405892872,4284,Fennec,363,656,0,1,5,2,12,4,2,0,341,43.15,2029,1296,733,16,59,311,140,171,2,15,46.3,23.83,133,312,59,1498,502589,180.55,49.8,140.62,38.79,41.37,11.41,194.76,53.72,146.19,40.32,21.59,5.96,6.47,0.16,40,182.7,162.7,1962,1709,2166,3060,268.6,74.09,93.94,25.91,243.76,67.23,118.79,32.77,183.69,50.67,105.15,29,73.7,20.33,0,0,supersonic
