color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Mouka038;Epic;4a0cdd8a38af485ea7c22d0beceee9ae;4284;Fennec;391;737;2;0;6;3;13;7;4;66.67;226;43.24;1242;830;412;10;37;118;0;118;0;10;55.94;49.27;368;92;1;1280;448219;248.35;63.6;116.15;29.74;25.99;6.66;269.6;69.04;119.46;30.59;1.44;0.37;0;0;0;293.1;313.8;2677;1736;3102;3415;282.22;72.27;108.27;27.73;291.4;74.63;99.08;25.37;248.93;63.75;82.85;21.22;58.71;15.03;1;0
blue;;CydreXxX;Epic;5db316f626b445389add55bd69101bc8;23;Octane;391;6;0;0;0;0;13;7;3;0;273;48.3;575;443;132;5;11;95;0;95;0;8;13.22;8.9;42;56;0;1397;141147;59.49;52.47;44.01;38.82;9.88;8.71;62.8;55.39;45.04;39.72;5.54;4.89;0.17;0.17;1;66.6;42.7;1983;2406;1754;3415;63.85;56.32;49.53;43.68;71.32;62.9;42.06;37.1;57.35;50.59;31.15;27.48;24.87;21.94;0;0
orange;;FlowingMild;Epic;94396c69051f45bfa131debfa8d4567a;23;Octane;391;933;5;1;0;12;3;2;1;41.67;417;49.74;2615;1783;832;23;61;827;548;279;7;26;29.45;74.69;272;436;94;1478;517017;191.45;49.42;137.35;35.46;58.59;15.12;206.42;53.29;161.54;41.7;19.42;5.01;7.53;0.11;67;160.7;202.8;1950;1763;2516;2609;288.1;74.37;99.28;25.63;195.14;50.37;192.24;49.63;131.55;33.96;133.28;34.4;122.56;31.64;0;1
orange;;BoXeDByCliX4216;XBox;c8d5c0c3fe010900;10900;Shokunin;391;360;2;1;0;1;3;2;1;200;383;49.5;2617;1804;813;21;38;663;453;210;5;11;53.94;60.47;698;303;46;1349;465166;232.3;59.48;126.7;32.44;31.52;8.07;252.16;64.57;128.19;32.83;10.17;2.6;2.8;0.23;12;214.2;155;2396;2228;2758;2609;288.91;73.98;101.6;26.02;231.81;59.36;158.71;40.64;165.94;42.49;129.12;33.06;95.46;24.44;0;0
