color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;StompingFlyer;Epic;e2118f50bb8042a5a95484afdf699e63;23;Octane;372;1105;6;0;2;11;8;1;1;54.55;405;54.4;2325;1937;388;25;33;594;429;165;6;14;35.55;57;334;465;66;1512;514037;164.6;44.34;170.66;45.98;35.94;9.68;217.86;58.69;144.66;38.97;8.69;2.34;0.45;0.45;1;183.1;174.7;2494;2255;2789;3309;321.76;86.68;49.44;13.32;206.38;55.6;164.82;44.4;153.71;41.41;95.78;25.8;121.71;32.79;1;0
blue;;MainBaseball4683;Epic;d5284c9a402443f0aed0e3722f1894e9;403;Dominus;372;246;0;1;1;2;8;1;0;0;200;28.25;925;375;550;4;40;154;0;154;0;14;98.7;41.06;100;29;0;1277;419800;234.78;63.55;118.4;32.05;16.27;4.4;245.97;66.58;119.86;32.44;3.62;0.98;2.75;0.55;5;167;178.3;2908;3153;2739;3309;282.53;76.47;86.92;23.53;204.88;55.46;164.57;44.54;137.01;37.08;125.05;33.85;107.39;29.07;1;0
orange;;aakryanislive;PS4;aakryanislive;1568;Octane ZSR;372;386;1;0;1;6;13;6;4;16.67;332;44.67;1863;1467;396;20;36;493;396;97;4;8;69.16;44.96;592;444;3;1225;399501;237.5;64.32;104.31;28.25;27.44;7.43;279.47;75.69;86.11;23.32;3.67;0.99;9.26;0.24;39;171.4;221.1;2667;2255;2953;3514;232.7;63.02;136.55;36.98;289.76;78.47;79.49;21.53;229.87;62.25;98.46;26.66;40.92;11.08;0;0
orange;;sam_ftw12;PS4;sam_ftw12;22;Breakout;372;199;0;0;1;2;13;6;2;0;160;52.51;1057;772;285;9;27;119;71;48;1;4;13.7;75.15;138;146;28;1065;312347;271.53;74.56;72;19.77;20.63;5.67;262.09;71.97;100.36;27.56;1.7;0.47;4.65;0.52;9;234.8;133.7;2987;3515;2619;3514;251.51;69.07;112.64;30.93;305.87;84;58.28;16;263.89;72.47;73.42;20.16;26.85;7.37;0;2
