color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;i Iike boys.;Epic;694a930d969e4b18943205f478afeb09;23;Octane;353;1030;4;2;1;6;4;0;0;66.67;456;52.2;2655;2189;466;26;44;614;465;149;5;14;9.67;49.42;190;304;34;1540;497629;155.38;43.99;152.8;43.26;45.04;12.75;160.05;45.31;170.39;48.24;22.78;6.45;3.6;0.11;33;144.8;210.4;1943;1894;2122;3522;264.84;74.98;88.37;25.02;201.89;57.16;151.33;42.84;142.3;40.29;118.36;33.51;92.55;26.2;0;0
blue;;brayden fv;Epic;bd6e3eabb1d94b0da98d8d9bd4c35f62;23;Octane;353;401;3;0;0;3;4;0;0;100;249;54.18;1602;1107;495;13;43;425;268;157;3;14;17.82;58.81;176;204;32;1378;403248;218.4;62.69;92.47;26.54;37.5;10.76;219.44;62.99;121.47;34.87;7.46;2.14;5.24;0.19;28;193.3;133.8;3353;3364;3329;3522;273.88;78.62;74.49;21.38;207;59.42;141.37;40.58;166.99;47.93;91.29;26.2;90.09;25.86;0;1
orange;;Jpcurr;Epic;cd0995a3b5214d7ab1aa3720a9852535;4284;Fennec;353;210;0;0;0;2;9;7;6;0;287;39.99;1452;870;582;14;49;327;206;121;3;10;78.05;27.6;358;529;93;1428;444421;190.29;53.88;139.66;39.55;23.2;6.57;237.17;67.16;106.58;30.18;9.4;2.66;3.91;0.13;30;193.5;142.6;2663;2152;2942;3148;230.98;65.41;122.17;34.59;248.15;70.27;105;29.73;196.93;55.77;87.73;24.84;68.48;19.39;1;0
orange;;Robert Shmurdah;Epic;827bf25d0a5648448e1443a770f22a68;404;Scarab;353;158;0;0;0;2;9;7;1;0;333;46.14;1957;1306;651;15;52;267;142;125;2;12;29.52;25.77;233;197;57;1408;454845;187.9;53.2;142.26;40.28;23.05;6.53;188.14;53.26;149.32;42.27;15.76;4.46;4.17;0.17;24;148.9;186.9;2546;2322;2550;3148;218.7;61.92;134.51;38.08;224.18;63.47;129.03;36.53;160.11;45.33;120.03;33.98;73.07;20.69;0;0
