color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Rachel957;Epic;d550600ffa8d49f599d500e9225bb27b;4284;Fennec;401;848;6;0;1;6;4;2;0;100;240;53.59;1702;903;799;13;73;486;248;238;4;25;25.07;36.26;174;221;25;1275;454932;263.99;66.15;121.62;30.48;13.44;3.37;310.67;77.85;86.21;21.6;2.17;0.54;4.57;0.13;36;206.2;155.7;2988;2868;3116;2916;333.65;83.61;65.4;16.39;248.22;62.2;150.83;37.8;194.93;48.85;115.19;28.87;88.93;22.29;1;0
blue;;CS(NQ(NNDSGN:\jsw;Epic;031bf22a22ea44be909644961403f089;10900;Shokunin;401;615;2;4;0;3;4;2;2;66.67;254;56.89;1820;1165;655;17;57;348;93;255;2;22;37.9;33.53;43;545;114;1214;434175;281.95;70.47;108.26;27.06;9.91;2.48;280.45;70.09;109.87;27.46;9.8;2.45;2.3;0.33;7;158.1;205.5;2111;1999;2133;2916;313.18;78.27;86.93;21.73;231.93;57.97;168.18;42.03;157.61;39.39;141.96;35.48;100.55;25.13;0;0
orange;;Sir.Stubz;Steam;76561198877662668;403;Dominus;401;292;1;0;2;3;9;8;6;33.33;169;43.58;1199;724;475;11;40;161;0;161;0;14;41.49;38.7;192;382;6;1208;426536;297.37;75.03;85.31;21.53;13.63;3.44;301.89;76.18;88.4;22.31;6.02;1.52;0;0;0;213.2;151.6;2520;2335;2622;2476;258;65.1;138.31;34.9;284.55;71.8;111.77;28.2;238.69;60.23;85.59;21.6;72.04;18.18;0;1
orange;;A-train42069;Epic;f5e8efe2394941f294523a28f0a6013a;11677;;401;234;1;0;0;1;9;8;2;100;111;48.06;775;292;483;4;43;156;27;129;1;11;21.9;65.12;80;129;75;1209;432702;291.93;72.95;94.03;23.5;14.22;3.55;259.74;64.91;133.37;33.33;7.07;1.77;3.03;0.61;5;160.2;213.8;2146;1773;2517;2476;251.63;62.88;148.55;37.12;284.05;70.98;116.14;29.02;223.84;55.93;105.07;26.26;71.27;17.81;0;0
