color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Sens;Steam;76561198025920791;23;Octane;294;778;3;0;3;7;5;1;0;42.86;403;51.42;1963;1429;534;19;48;614;351;263;4;24;19.88;51.89;146;479;51;1546;424596;123.5;42.46;135.12;46.46;32.23;11.08;161.38;55.49;112.42;38.65;17.04;5.86;6.84;0.07;98;146.9;132.8;2123;2096;2119;3076;235.65;81.02;55.19;18.98;141.77;48.75;149.07;51.25;101.84;35.02;90.92;31.26;98.08;33.72;2;1
blue;;Hoodie;Steam;76561198320100227;23;Octane;294;120;0;0;0;2;5;1;1;0;425;59.85;1855;1455;400;19;37;635;397;238;5;21;14.14;32.47;77;312;25;1571;433383;123.81;42.57;132.69;45.63;34.31;11.8;172.53;59.33;105.64;36.33;12.64;4.35;5.91;0.09;68;135.6;144.2;2473;2510;2293;3076;199.33;68.54;91.49;31.46;145.34;49.98;145.48;50.02;101.01;34.73;95.77;32.93;94.04;32.34;0;1
orange;;boonilla_;Epic;1d884913949b46589d124b7e8b54115d;1295;Takumi RX-T;294;582;1;0;4;2;9;3;1;50;415;51.65;1851;1376;475;16;44;165;65;100;1;9;28.51;43.2;277;206;34;1521;398684;141.32;48.66;111.26;38.31;37.82;13.02;166.39;57.3;117.88;40.59;6.13;2.11;4.37;0.1;45;126.3;166;1873;1635;2068;2585;198.18;68.24;92.23;31.76;216.5;74.55;73.9;25.45;172.95;59.56;75.04;25.84;42.41;14.6;2;1
orange;;MagiK ;Epic;41df2ff2788c42c88b029772964a9258;4284;Fennec;294;232;0;1;2;3;9;3;2;0;326;46.22;1583;1056;527;13;46;160;0;160;0;14;28.35;26.46;236;249;0;1454;382592;160.16;55.07;102;35.07;28.65;9.85;175.36;60.3;103.44;35.57;12.01;4.13;2.97;0.1;30;154.5;139.3;2197;1965;2317;2585;211.44;72.71;79.36;27.29;215.32;74.04;75.48;25.96;161.06;55.39;95.17;32.73;34.57;11.89;0;1
