color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Raph1nha;Epic;af203af323b74372a1edfb38f351c0bf;4284;Fennec;189;215;0;0;2;0;10;4;2;0;291;47.68;873;592;281;8;25;362;291;71;4;6;13.95;22.03;82;214;108;1302;215066;106.91;59.19;58.85;32.58;14.86;8.23;124.39;68.86;55.54;30.75;0.7;0.39;1.7;0.15;11;69.9;104.5;2484;2116;2708;3023;128.13;70.94;52.49;29.06;121.17;67.08;59.46;32.92;93.86;51.97;44.5;24.64;42.26;23.4;0;2
blue;;Beolz12;Epic;09a3c062002d46d796bab6b581ebef6e;403;Dominus;189;195;0;0;2;1;10;4;2;0;292;42.62;998;652;346;7;30;200;95;105;1;9;20.36;17.13;141;51;8;1315;224527;117.95;63.48;55.12;29.67;12.73;6.85;120.87;65.05;56.4;30.36;8.53;4.59;1.97;0.09;21;107.9;72.4;2292;2452;2124;3023;138.65;74.62;47.15;25.38;150.38;80.93;35.43;19.07;120.65;64.93;49.4;26.59;15.76;8.48;0;1
orange;;simjkl;Steam;76561198066555492;23;Octane;189;462;2;2;0;7;1;0;0;28.57;484;52.54;1543;1188;355;15;33;540;388;152;5;13;17.96;20.71;137;262;111;1542;269162;84.65;44.79;78;41.27;26.36;13.95;108.98;57.66;72.45;38.33;7.58;4.01;5.07;0.11;46;83.5;88.6;1929;1718;2026;3384;142.08;75.17;46.93;24.83;88.69;46.93;100.31;53.07;68;35.98;54.71;28.95;66.3;35.08;1;0
orange;;Naumal;Steam;76561198099773634;4284;Fennec;189;370;2;1;1;3;1;0;0;66.67;419;51.37;1234;787;447;10;38;406;298;108;4;9;29.79;18.77;149;217;101;1516;262236;87.88;46.54;81.68;43.25;19.28;10.21;118.02;62.5;61.65;32.65;9.16;4.85;3.4;0.08;43;88.1;83.6;2926;2492;3247;3384;139.58;73.92;49.25;26.08;109.23;57.84;79.61;42.16;83.16;44.04;47.74;25.28;57.94;30.68;2;0
