color,player name,platform,player id,car id,car name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,goals conceded while last defender,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,avg speed,total distance,time slow speed,percentage slow speed,time boost speed,percentage boost speed,time supersonic speed,percentage supersonic speed,time on ground,percentage on ground,time low in air,percentage low in air,time high in air,percentage high in air,time powerslide,avg powerslide time,count powerslide,time most back,time most forward,avg distance to ball,avg distance to ball has possession,avg distance to ball no possession,avg distance to team mates,time behind ball,percentage behind ball,time in front of ball,percentage in front of ball,time defensive half,percentage defensive half,time offensive half,percentage offensive half,time defensive third,percentage defensive third,time neutral third,percentage neutral third,time offensive third,percentage offensive third,demos inflicted,demos taken,rank
blue,shalter.1,Epic,93f9f477e40344088948e6ee21dcd9b3,23,Octane,334,310,0,1,2,2,10,4,1,0,286,62.41,1630,1131,499,14,50,432,200,232,2,23,18.29,70.8,232,338,24,1465,444451,164.15,49.68,136.73,41.38,29.56,8.95,222.2,67.24,104.27,31.55,3.97,1.2,1.7,0.17,10,158.9,163.7,2727,2734,2646,3313,235,71.12,95.45,28.88,195.4,59.13,135.05,40.87,133.76,40.48,123.01,37.22,73.68,22.3,1,1,diamond
orange,w1z1ble,Epic,cbd6148ee3b6415faf4e3b217af6ee2e,4284,Fennec,334,679,3,1,2,4,7,2,2,75,338,54.3,1754,1292,462,17,44,321,200,121,2,11,33.5,49.28,262,320,0,1404,429925,172.79,52.17,131.1,39.58,27.33,8.25,228.16,68.88,88.64,26.76,14.42,4.35,4.87,0.17,29,133,185.2,2495,2153,2835,3235,237.42,71.68,93.8,28.32,231.68,69.95,99.54,30.05,172.39,52.05,105.77,31.93,53.06,16.02,2,0,diamond
orange,Jfb darklen,Epic,dfdb2ebb8b9340c3b0226280092e0d4f,4284,Fennec,334,438,1,1,2,6,7,2,0,16.67,285,42.76,1692,1165,527,15,46,274,154,120,2,10,50.23,47.64,7,334,45,1310,398925,207.4,62.77,104.56,31.65,18.45,5.58,217.77,65.91,111.06,33.61,1.58,0.48,7.06,0.19,37,187.5,130.4,2596,2615,2603,3235,255.22,77.24,75.19,22.76,251.4,76.09,79.01,23.91,209.36,63.36,85.26,25.8,35.79,10.83,0,1,diamond
blue,CallMeFrosty_99,Epic,af823a1c75b04c3bb1ddee317088ee98,23,Octane,436,746,2,1,2,7,9,3,2,28.57,496,55.91,3306,2714,592,34,58,1135,848,287,10,27,53.57,43.45,604,756,157,1558,612663,181.01,42.1,189.36,44.05,59.54,13.85,220.18,51.22,171.33,39.85,38.4,8.93,5.8,0.1,57,175.9,242.7,2181,1959,2439,3453,310.93,72.32,118.98,27.68,243.13,56.56,186.77,43.44,186.16,43.3,112.57,26.18,131.18,30.51,0,2,diamond
blue,Seg;Steam;76561198020618571;11603,Seg,Steam,76561198020618571,11603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
orange,fadedobito35;Epic;aeb0d10fcc9b454c958eceffdfcbe5a1;11996,fadedobito35,Epic,aeb0d10fcc9b454c958eceffdfcbe5a1,11996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
orange,Killerofbots145,Epic,710e9fe9d0b8455c91c3a02aa0e8afb7,7901,Fast & Furious Mazda RX-7,436,552,1,2,2,5,12,4,1,20,443,51.95,2861,2147,714,25,57,311,200,111,2,10,99.65,32.72,489,292,10,1533,613697,191.94,44.03,180.44,41.39,63.54,14.58,267.31,61.32,144.57,33.16,24.04,5.51,7.87,0.09,90,211,193.6,2991,2631,3232,3162,335.25,76.91,100.67,23.09,327.49,75.13,108.4,24.87,268.29,61.55,108.2,24.82,59.43,13.63,2,0,diamond
blue,st.patrick16,Epic,8f97796258ca4fd9a834916d992fcdea,4284,Fennec,333,526,2,0,0,3,2,1,1,66.67,412,53.73,2325,1782,543,23,48,866,575,291,6,26,28.75,49.97,121,479,42,1479,469304,161.66,48.49,136.37,40.9,35.37,10.61,176.65,52.98,149.69,44.9,7.06,2.12,5.43,0.11,50,144.8,187.3,2119,1897,2443,2906,228.04,68.4,105.36,31.6,158.74,47.61,174.66,52.39,108.5,32.54,107.66,32.29,117.24,35.16,0,0,diamond
blue,LewiiiXz,PS4,LewiiiXz,23,Octane,333,240,0,1,0,2,2,1,0,0,432,52.94,2401,1920,481,21,43,451,281,170,4,15,44.16,45.09,309,207,118,1498,468411,147.07,44.11,133.51,40.04,52.86,15.85,178.05,53.4,140.1,42.02,15.29,4.59,4.14,0.1,42,191.2,138.3,2300,2050,2678,2906,240,71.98,93.44,28.02,174.64,52.38,158.8,47.62,123.7,37.1,119.68,35.89,90.06,27.01,0,0,diamond
orange,Jfb darklen,Epic,dfdb2ebb8b9340c3b0226280092e0d4f,4284,Fennec,333,344,1,0,1,1,5,2,1,100,397,46.49,2147,1421,726,16,64,272,20,252,1,23,47.26,29.93,381,181,82,1410,447095,178.87,53.64,128.66,38.58,25.92,7.77,222.56,66.75,107.6,32.27,3.28,0.98,5.96,0.22,27,173.5,162.9,2797,2708,2768,3439,239.29,71.76,94.15,28.24,233.32,69.97,100.12,30.03,181.61,54.47,102.72,30.81,49.11,14.73,0,0,diamond
