color,player name,platform,player id,car id,car name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,goals conceded while last defender,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,avg speed,total distance,time slow speed,percentage slow speed,time boost speed,percentage boost speed,time supersonic speed,percentage supersonic speed,time on ground,percentage on ground,time low in air,percentage low in air,time high in air,percentage high in air,time powerslide,avg powerslide time,count powerslide,time most back,time most forward,avg distance to ball,avg distance to ball has possession,avg distance to ball no possession,avg distance to team mates,time behind ball,percentage behind ball,time in front of ball,percentage in front of ball,time defensive half,percentage defensive half,time offensive half,percentage offensive half,time defensive third,percentage defensive third,time neutral third,percentage neutral third,time offensive third,percentage offensive third,demos inflicted,demos taken,rank
blue,How2Bob101,XBox,b4c969c5f8010900,23,Octane,404,162,0,1,0,1,12,9,3,0,455,45.56,2049,1666,383,19,32,347,263,84,3,7,30.13,20.5,210,233,36,1497,355637,127.76,49.02,101.02,38.76,31.87,12.23,158.53,60.82,95.36,36.58,6.77,2.6,5.64,0.17,33,130.4,110.9,2430,2214,2608,2714,176.67,67.78,83.99,32.22,177.27,68.01,83.39,31.99,127.11,48.76,92.27,35.4,41.28,15.84,0,0,champion
orange,Kingrapv2,Steam,76561198365720520,4284,Fennec,404,1341,7,2,3,9,4,1,1,77.78,399,48.11,2498,1828,670,24,58,969,693,276,8,24,35.09,35.03,264,576,111,1553,558166,186.64,46.59,155.57,38.84,58.36,14.57,221.78,55.36,164.49,41.06,14.31,3.57,6.52,0.17,39,151.9,213.1,2084,1808,2485,2764,327.6,81.78,72.97,18.22,211.03,52.68,189.54,47.32,152.63,38.1,116.73,29.14,131.21,32.76,0,1,champion
orange,seventycorgi964,Epic,b6d2bf0efa6e4a138a78a81f3c94d5a8,23,Octane,404,420,2,2,0,3,4,1,0,66.67,363,50.52,2504,1900,604,23,57,305,150,155,2,15,43.14,78.82,107,396,65,1427,515815,220.73,54.68,140.69,34.85,42.25,10.47,207.52,51.41,167.96,41.61,28.2,6.99,6.62,0.11,58,216.3,151.7,2522,2663,2312,2764,325.85,80.72,77.82,19.28,230.85,57.19,172.82,42.81,164.54,40.76,148.89,36.88,90.24,22.35,0,0,champion
blue,XtremeRonan,Epic,74ee108878254a11bbcef581aca5237a,4284,Fennec,351,667,1,2,3,3,8,2,0,33.33,406,44.03,2286,1623,663,21,59,591,369,222,6,19,59.76,33.82,170,367,230,1490,484737,176.87,50.78,116.03,33.31,55.44,15.92,167.61,48.12,154.79,44.44,25.93,7.44,3.2,0.11,30,183.8,147,2212,2148,2282,2965,263.66,75.69,84.68,24.31,227.37,65.27,120.97,34.73,168.12,48.26,101.87,29.25,78.34,22.49,0,1,champion
blue,Mautje04,Epic,c880e39c3e994582862ebe1dbc830875,23,Octane,351,511,2,1,1,3,8,2,2,66.67,427,44.75,2557,1696,861,20,69,538,300,238,3,21,55.39,27.27,414,317,2,1569,515265,155.77,44.33,140.58,40,55.07,15.67,202.51,57.62,127.24,36.21,21.68,6.17,5.54,0.09,61,150.2,183.4,2435,2558,2258,2965,240.23,68.36,111.2,31.64,225.47,64.16,125.95,35.84,152.34,43.35,130.23,37.06,68.86,19.59,1,0,champion
orange,s0rrx.,Epic,6fc21c0fb213484fa6b88dc130b63d61,23,Octane,351,419,1,1,2,5,6,3,2,20,399,52.02,2183,1626,557,19,46,402,288,114,3,10,56.13,49,216,283,15,1565,512909,153.22,43.6,135.3,38.5,62.91,17.9,163.03,46.39,177.17,50.42,11.22,3.19,6.2,0.13,48,166.7,165.9,2602,2325,2845,2898,251.29,71.51,100.13,28.49,220.3,62.69,131.13,37.31,172.28,49.02,89.92,25.59,89.22,25.39,1,0,champion
orange,im to goo,Epic,879a55a4169b42318b9b9abb853345ef,23,Octane,351,317,1,0,1,3,6,3,1,33.33,482,45.66,2554,1858,696,23,61,818,572,246,7,21,35.55,18.56,505,446,127,1573,510877,156.12,44.81,120.99,34.73,71.31,20.47,188.23,54.02,140.66,40.37,19.53,5.61,4.77,0.14,33,170.1,164.1,2375,2428,2333,2898,251.82,72.28,96.59,27.72,209.72,60.19,138.7,39.81,155.63,44.67,100.59,28.87,92.2,26.46,0,1,champion
blue,seventycorgi964,Epic,b6d2bf0efa6e4a138a78a81f3c94d5a8,23,Octane,408,852,4,1,3,5,12,4,2,80,370,46.09,2446,1675,771,18,61,590,386,204,4,18,42.06,26.82,11,145,22,1448,535136,220.3,53.99,142.02,34.81,45.69,11.2,219.92,53.9,175.28,42.96,12.82,3.14,5.91,0.14,43,209,171.4,2165,2220,2084,2463,313.13,76.75,94.88,23.25,261.06,63.98,146.95,36.02,202.25,49.57,122.26,29.96,83.5,20.47,0,0,champion
blue,RASE,Steam,76561198153952459,803,Batmobile (2016),408,744,1,3,3,5,12,4,2,20,380,44.14,2448,1747,701,22,54,405,227,178,3,17,30.54,41.38,401,418,72,1443,517121,202.68,50.9,154.46,38.79,41.06,10.31,238.68,59.94,153.45,38.54,6.07,1.52,5.65,0.13,45,177.6,198.5,2147,2119,2156,2463,282.97,71.06,115.22,28.94,250.98,63.03,147.22,36.97,188.91,47.44,120.45,30.25,88.84,22.31,1,2,champion
orange,Jgeu_,Epic,f495de51268a48dd8c87c0e8ff43b337,4284,Fennec,408,788,4,0,1,9,10,5,2,44.44,446,41.54,2815,2031,784,23,67,701,445,256,5,22,82.36,19.17,395,268,54,1499,551588,203.92,50.02,146.58,35.95,57.21,14.03,226.01,55.43,161.38,39.58,20.32,4.98,4.51,0.16,28,161.2,216.9,2067,1875,2265,2912,286.16,70.19,121.55,29.81,235.25,57.7,172.46,42.3,174.53,42.81,122.19,29.97,111,27.22,2,0,champion
orange,Tjuki,Steam,76561198268904845,23,Octane,408,410,0,3,1,3,10,5,3,0,460,43.71,3057,2414,643,26,57,274,46,228,1,20,66.71,36.53,772,187,53,1549,560935,191.35,47.5,146.46,36.36,65.01,16.14,230.02,57.1,163.17,40.51,9.63,2.39,6.32,0.1,63,220,155.4,2560,2543,2584,2912,304.3,75.54,98.52,24.46,259.94,64.53,142.88,35.47,192.8,47.86,132.32,32.85,77.7,19.29,0,1,champion
blue,spidy0.,Epic,8aa20370bdc644f5b01db365aef7bed8,4284,Fennec,351,636,2,1,0,9,6,2,1,22.22,408,52.14,2572,1950,622,24,56,446,236,210,3,19,38.24,33.54,257,485,69,1521,498348,162.35,46.27,141.79,40.41,46.7,13.31,196.44,55.99,121.68,34.68,32.71,9.32,6.68,0.12,54,191.4,146.7,2066,1968,2198,2929,280.41,79.93,70.43,20.07,211.14,60.18,139.7,39.82,160.49,45.75,109.8,31.3,80.54,22.96,1,0,champion
blue,Asteraxx,Epic,36ffeb94f54843dfbf4eed82fa610d1a,4284,Fennec,351,326,1,0,0,4,6,2,1,25,380,46.42,2336,1596,740,19,68,577,286,291,4,27,51.29,24.81,162,124,58,1514,492676,167.47,48.16,141.83,40.79,38.42,11.05,222.81,64.08,113.96,32.77,10.95,3.15,10.45,0.11,92,144.5,191,2293,2175,2378,2929,240.81,69.25,106.92,30.75,208.61,59.99,139.12,40.01,142.89,41.09,117.25,33.72,87.59,25.19,2,1,champion
orange,XOTIC0,Epic,71f05ff204a34c8b87e5c75fa41b9992,23,Octane,351,786,2,0,5,3,13,3,2,66.67,411,41.43,2178,1502,676,18,51,366,148,218,2,19,69.78,25.24,281,266,51,1559,511115,160.47,45.73,131.3,37.42,59.1,16.84,184.05,52.46,141.53,40.34,25.29,7.21,5.87,0.12,48,126.3,221,2032,1860,2171,3091,251.7,71.73,99.18,28.27,212.76,60.64,138.11,39.36,164.99,47.02,97.33,27.74,88.55,25.24,0,0,champion
orange,Saoud_Taker,PS4,Saoud_Taker,4284,Fennec,351,498,0,1,4,3,13,3,1,0,407,50.73,2349,1766,583,21,51,567,340,227,4,21,33.74,33.54,367,346,60,1403,445466,185.51,54.57,122.98,36.17,31.48,9.26,222.27,65.38,113.48,33.38,4.21,1.24,6.05,0.12,50,222.3,114,2656,2767,2578,3091,274.05,80.61,65.91,19.39,237.3,69.8,102.67,30.2,190,55.89,86.31,25.39,63.66,18.73,1,3,champion
