color,player name,platform,player id,car id,car name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,goals conceded while last defender,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,avg speed,total distance,time slow speed,percentage slow speed,time boost speed,percentage boost speed,time supersonic speed,percentage supersonic speed,time on ground,percentage on ground,time low in air,percentage low in air,time high in air,percentage high in air,time powerslide,avg powerslide time,count powerslide,time most back,time most forward,avg distance to ball,avg distance to ball has possession,avg distance to ball no possession,avg distance to team mates,time behind ball,percentage behind ball,time in front of ball,percentage in front of ball,time defensive half,percentage defensive half,time offensive half,percentage offensive half,time defensive third,percentage defensive third,time neutral third,percentage neutral third,time offensive third,percentage offensive third,demos inflicted,demos taken,rank
orange,Totoz2938,PS4,Totoz2938,403,Dominus,335,393,1,0,2,1,6,1,1,100,221,59,1334,931,403,13,36,245,151,94,2,9,22.17,71.37,285,386,50,1283,408707,214.38,63.9,99.57,29.68,21.52,6.41,235.64,70.24,96.59,28.79,3.24,0.97,1.95,0.22,9,143.9,184.7,2529,2187,2895,3174,245.98,73.33,89.48,26.67,226.3,67.46,109.16,32.54,166.78,49.72,103.81,30.95,64.87,19.34,0,0,gold
blue,GaryMans1669,XBox,558d250e00000900,4284,Fennec,189,559,4,1,0,5,0,0,0,80,317,52.65,882,635,247,8,21,101,17,84,1,7,14.13,7.31,133,164,82,1404,226655,94.18,51.53,72.19,39.5,16.4,8.97,121.47,66.46,59.32,32.45,1.99,1.09,1.48,0.3,5,86.1,86.8,2559,2219,3030,2929,144.82,79.24,37.95,20.76,121.12,66.27,61.65,33.73,81.56,44.63,68.51,37.49,32.69,17.89,0,1,gold
blue,eikofr,Steam,76561198341973113,4284,Fennec,189,324,2,0,0,3,0,0,0,66.67,178,41.62,474,157,317,2,27,59,0,59,0,5,8.57,4.55,39,49,0,1147,182554,144.65,77.5,37.75,20.23,4.25,2.28,138.32,74.1,47.53,25.46,0.81,0.43,3.37,0.34,10,86.4,86.1,2256,2226,2091,2929,153.53,82.25,33.13,17.75,124.05,66.46,62.61,33.54,82.68,44.3,75.31,40.35,28.66,15.35,0,0,gold
orange,shuagggg1234,PS4,shuagggg1234,23,Octane,189,288,0,0,3,0,8,6,4,0,232,37.76,620,348,272,4,24,72,0,72,0,6,20.48,8.75,80,51,0,1194,195837,132.63,70.75,45.09,24.05,9.75,5.2,136.81,72.98,46.91,25.02,3.75,2,1.66,0.83,2,144.8,119.4,2238,1864,2521,2699,141.1,75.27,46.37,24.73,137.42,73.3,50.06,26.7,104.96,55.99,61.58,32.85,20.93,11.16,1,0,gold
orange,lechazonigeriano,Epic,25a409891f7e4f59bbf16f8dc8c07cfa,403,Dominus,189,44,0,0,0,0,8,6,2,0,358,56,472,382,90,5,8,98,68,30,1,3,8.72,11.18,68,123,38,1478,96621,34.43,47.15,34.66,47.47,3.93,5.38,41.47,56.79,25.94,35.52,5.61,7.68,0.95,0.24,4,20.6,46.2,1750,1462,1985,2699,49.49,67.78,23.53,32.22,40.55,55.53,32.47,44.47,29.35,40.19,23.29,31.9,20.38,27.91,0,0,gold
blue,Tommyclarrkk6,PS4,Tommyclarrkk6,4284,Fennec,227,140,0,0,0,2,3,3,0,0,270,52,772,622,150,7,13,239,169,70,2,6,23.47,51.13,154,82,30,1235,220790,134.62,65.75,61.64,30.11,8.47,4.14,130.45,63.72,72.78,35.55,1.5,0.73,0.67,0.67,1,75.3,123.6,2409,2147,2659,2859,120.85,59.03,83.89,40.97,114.98,56.16,89.75,43.84,96.42,47.09,49.24,24.05,59.08,28.86,0,0,gold
blue,Lc182593;XBox;1955494cf8010900;12286,Lc182593,XBox,1955494cf8010900,12286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold
orange,Dr.At0mic 0,Epic,099fc10a5856425981553c1894155854,4284,Fennec,227,348,1,1,2,1,2,0,0,100,325,43.18,1239,854,385,10,33,240,95,145,1,13,16.54,29.3,5,59,6,1268,262836,144.1,63.43,76.9,33.85,6.17,2.72,138.46,60.95,82.84,36.47,5.87,2.58,4.83,0.19,26,136.8,87.7,2822,2974,2585,3379,184.54,81.23,42.63,18.77,152.82,67.27,74.36,32.73,121.19,53.35,61.86,27.23,44.13,19.43,0,0,gold
orange,topbinalf,PS4,topbinalf,23,Octane,227,346,2,0,0,2,2,0,0,100,323,52.47,1044,863,181,11,16,347,294,53,3,5,16.04,24.63,165,240,5,1354,284819,125.98,56.22,81.32,36.29,16.79,7.49,119.25,53.22,81.96,36.58,22.87,10.21,2.1,0.19,11,91.3,138.4,1843,1601,2150,3379,145.42,64.89,78.67,35.11,116.82,52.13,107.26,47.87,92.59,41.32,40.87,18.24,90.63,40.44,0,1,gold
blue,Il Barba9897,XBox,1e1ecb06fb010900,8566,Emperor II: Scorched,337,422,2,0,1,4,3,1,1,50,299,54.85,1701,1320,381,19,33,324,206,118,3,10,37.59,63.34,577,583,95,1462,450353,174.2,51.59,126.93,37.59,36.53,10.82,198.62,58.82,127.94,37.89,11.1,3.29,2.57,0.17,15,171,160.6,2168,2102,2264,3062,228.98,67.81,108.68,32.19,200.03,59.24,137.62,40.76,157.27,46.58,89.06,26.38,91.32,27.05,0,0,gold
