color,player name,platform,player id,car id,car name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,goals conceded while last defender,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,avg speed,total distance,time slow speed,percentage slow speed,time boost speed,percentage boost speed,time supersonic speed,percentage supersonic speed,time on ground,percentage on ground,time low in air,percentage low in air,time high in air,percentage high in air,time powerslide,avg powerslide time,count powerslide,time most back,time most forward,avg distance to ball,avg distance to ball has possession,avg distance to ball no possession,avg distance to team mates,time behind ball,percentage behind ball,time in front of ball,percentage in front of ball,time defensive half,percentage defensive half,time offensive half,percentage offensive half,time defensive third,percentage defensive third,time neutral third,percentage neutral third,time offensive third,percentage offensive third,demos inflicted,demos taken,rank
orange,SpinierGnu98744,XBox,07e6aea6fd010900,2853,Twinzer,384,603,2,0,3,2,9,3,1,100,319,42.16,1686,1217,469,14,40,202,100,102,1,9,48.98,47.83,443,184,0,1397,459546,204.42,55.52,133.95,36.38,29.8,8.09,227.82,61.88,138.21,37.54,2.13,0.58,5.73,0.14,41,180.7,202.3,2400,2348,2474,3195,282.94,76.85,85.23,23.15,250.59,68.07,117.57,31.93,196.67,53.42,110.98,30.14,60.51,16.44,0,5,platinum
orange,milli_guns,PS4,milli_guns,23,Octane,384,553,3,0,2,2,9,3,2,150,289,42.79,1694,1116,578,14,50,254,139,115,2,11,51.43,25.12,161,294,66,1339,445883,222,60.33,124.04,33.71,21.95,5.96,254.48,69.15,109.87,29.86,3.65,0.99,2.67,0.13,20,215.4,160.1,2865,2996,2692,3195,280.72,76.28,87.27,23.72,267.51,72.69,100.49,27.31,210.19,57.12,105.82,28.76,51.99,14.13,0,6,platinum
blue,1v4n,Psynet,fd1c315585b7bcc3,4284,Fennec,369,544,2,0,2,2,6,3,1,100,374,52.51,2395,1961,434,23,39,774,518,256,7,23,24.14,96.4,368,349,192,1376,464532,204.04,56.48,124.35,34.42,32.86,9.1,242.56,67.14,114.23,31.62,4.47,1.24,4.47,0.17,26,183.8,168.1,2115,2164,2066,2630,262.67,72.71,98.58,27.29,196.67,54.44,164.59,45.56,157.11,43.49,99.16,27.45,104.98,29.06,3,2,platinum
blue,cwrazy5,PS4,cwrazy5,4284,Fennec,369,384,0,1,1,5,6,3,2,0,327,56.11,2051,1677,374,20,35,506,372,134,4,12,22.48,80.02,211,352,35,1308,447149,221.34,60.43,123.16,33.63,21.75,5.94,213.94,58.41,133.01,36.32,19.3,5.27,2.24,0.09,25,171.5,183.9,2131,1743,2537,2630,264.19,72.13,102.06,27.87,213.08,58.18,153.18,41.82,162.18,44.28,99.16,27.07,104.92,28.65,0,1,platinum
orange,xMangaQueenx,PS4,xMangaQueenx,1856,JÃ¤ger 619,369,607,1,2,3,3,7,2,0,33.33,273,49.21,1684,1183,501,17,47,178,15,163,1,14,47.56,44.26,396,542,89,1334,446811,215.67,59.91,125.05,34.73,19.3,5.36,268.54,74.59,82.25,22.85,9.22,2.56,3.68,0.25,15,206.3,140.5,2535,2321,2727,3310,274.53,76.25,85.49,23.75,252.74,70.2,107.28,29.8,208.37,57.88,85.63,23.78,66.02,18.34,0,2,platinum
orange,Ragnar _ LK,Epic,7dff4d887ad24612a02b70d26bd94c11,10441,Nissan Fairlady Z RLE,369,358,2,0,0,3,7,2,2,66.67,319,37.84,1910,1234,676,14,60,337,100,237,1,20,99.66,21.51,245,139,0,1369,469462,209.43,57.2,118.37,32.33,38.34,10.47,225.69,61.64,134.38,36.7,6.06,1.66,10.15,0.13,78,146.8,207.9,2365,1926,2691,3310,253.18,69.15,112.95,30.85,222.37,60.74,143.76,39.26,182.24,49.77,87.25,23.83,96.64,26.39,3,1,platinum
blue,Baybones,Epic,e11b1a3549e54fb19f434c5661b18520,23,Octane,343,417,0,0,4,0,12,4,3,0,427,35.23,2079,1443,636,15,54,269,100,169,1,14,88.16,15.29,461,59,0,1469,474683,171.4,50.03,113.2,33.04,58,16.93,188.89,55.13,139.24,40.64,14.47,4.22,6.71,0.16,42,187.4,144.7,2229,2078,2318,2511,243.06,70.95,99.54,29.05,248.19,72.44,94.41,27.56,204.34,59.64,77.88,22.73,60.38,17.62,0,0,platinum
blue,Barkley rl,XBox,10b4af76fb010900,23,Octane,343,260,0,0,2,0,12,4,1,0,246,43.03,1451,857,594,9,44,456,185,271,2,16,43.53,17.65,267,42,14,1317,419923,210.66,61.48,108.71,31.72,23.3,6.8,205.4,59.94,131.09,38.26,6.18,1.8,2.24,0.08,27,148,181,2116,1874,2284,2511,240.47,70.18,102.2,29.82,232.51,67.85,110.16,32.15,197.4,57.61,82.03,23.94,63.23,18.45,1,0,platinum
orange,Ragnar _ LK,Epic,7dff4d887ad24612a02b70d26bd94c11,10441,Nissan Fairlady Z RLE,343,619,3,1,0,7,0,0,0,42.86,378,52.24,2048,1354,694,20,63,745,472,273,7,26,32.14,50.39,301,533,169,1443,466149,178.31,52.17,113.89,33.32,49.56,14.5,206.72,60.49,132.64,38.81,2.41,0.71,12.65,0.16,78,148.1,181.3,2688,2517,2916,3472,255.77,74.84,86,25.16,170.07,49.76,171.7,50.24,139.29,40.76,67.12,19.64,135.36,39.61,0,0,platinum
orange,Godric,Psynet,4f741f42ed827a80,23,Octane,343,468,1,2,0,5,0,0,0,20,303,60.65,1784,1450,334,19,29,640,505,135,6,12,22.92,58.81,58,458,100,1493,476906,161.08,47.48,146.84,43.28,31.33,9.24,182.59,53.82,145.57,42.91,11.09,3.27,5.54,0.15,36,181.9,144.5,2824,2611,3144,3472,257.12,75.79,82.13,24.21,185.94,54.81,153.32,45.19,144.17,42.5,85.27,25.13,109.82,32.37,0,1,platinum
