color,player name,platform,player id,car id,car name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,goals conceded while last defender,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,avg speed,total distance,time slow speed,percentage slow speed,time boost speed,percentage boost speed,time supersonic speed,percentage supersonic speed,time on ground,percentage on ground,time low in air,percentage low in air,time high in air,percentage high in air,time powerslide,avg powerslide time,count powerslide,time most back,time most forward,avg distance to ball,avg distance to ball has possession,avg distance to ball no possession,avg distance to team mates,time behind ball,percentage behind ball,time in front of ball,percentage in front of ball,time defensive half,percentage defensive half,time offensive half,percentage offensive half,time defensive third,percentage defensive third,time neutral third,percentage neutral third,time offensive third,percentage offensive third,demos inflicted,demos taken,rank
orange,C.Reach_Around,Epic,12d18acb686a402caec3a5a1cc0aee22,4284,Fennec,274,208,1,0,0,3,7,5,2,33.33,249,36.56,910,429,481,5,41,226,0,226,0,19,20.39,7.06,40,57,0,1249,297804,181.57,68.44,72.47,27.32,11.24,4.24,174.51,65.78,87.26,32.89,3.51,1.32,5.93,0.14,41,131.6,115.4,2480,2214,2708,2540,191.08,72.03,74.2,27.97,157.43,59.34,107.85,40.66,118.59,44.7,76.28,28.75,70.41,26.54,0,2,silver
blue,0Moto0,Epic,645ad29210c84551bfdecc1efa641893,4284,Fennec,342,281,0,0,1,0,6,4,2,0,165,56.36,1050,550,500,7,44,244,64,180,1,16,5.45,33.11,300,169,43,1247,373969,252.44,74.94,75.3,22.35,9.11,2.7,257.66,76.49,74.18,22.02,5.02,1.49,0,0,0,137.1,213.7,2207,1753,2510,2643,187.43,55.64,149.43,44.36,234.24,69.54,102.61,30.46,184.98,54.91,101.14,30.03,50.73,15.06,0,0,silver
blue,JSJTK1007,XBox,4c54a4d6f4010900,23,Octane,342,152,0,0,1,0,6,4,2,0,254,53.41,1399,1004,395,12,36,277,178,99,2,9,16.44,57.82,169,217,23,1271,379938,223.16,66.18,94.78,28.11,19.25,5.71,219.27,65.03,107.4,31.85,10.52,3.12,2.49,0.41,6,217.1,142.6,2134,1928,2318,2643,237.58,70.46,99.62,29.54,265.67,78.79,71.52,21.21,222.49,65.98,75.45,22.38,39.25,11.64,0,0,silver
orange,GoofysPipe,PS4,GoofysPipe,10901,Shokunin GXT,342,775,4,0,0,6,0,0,0,66.67,473,60.47,2641,2032,609,30,53,1323,991,332,15,29,24.74,50.55,349,985,524,1430,460839,167.3,49.18,146.02,42.93,26.83,7.89,185.22,54.45,130.36,38.32,24.57,7.22,4.1,0.15,28,128.5,204.1,1858,1528,2248,2907,246.93,72.59,93.22,27.41,149.42,43.93,190.73,56.07,97.31,28.61,96.33,28.32,146.51,43.07,0,0,silver
orange,C.Reach_Around,Epic,12d18acb686a402caec3a5a1cc0aee22,4284,Fennec,342,166,0,2,0,0,0,0,0,0,288,42.37,1404,578,826,7,70,354,90,264,1,22,19.51,23.16,71,121,9,1313,418803,211.95,62.49,118.33,34.89,8.91,2.63,223.17,65.79,115.13,33.94,0.9,0.27,6.49,0.13,50,204.1,125.3,2743,2949,2485,2907,268.28,79.09,70.92,20.91,182.34,53.76,156.86,46.24,125.09,36.88,111.93,33,102.17,30.12,0,0,silver
blue,ILoveCougars67,PS4,ILoveCougars67,4284,Fennec,351,497,3,0,0,6,5,5,3,50,372,52.43,2092,1364,728,16,64,610,342,268,4,24,22.33,44.9,630,261,76,1452,452851,185.44,53.47,126.58,36.5,34.76,10.02,245.4,70.76,96.36,27.79,5.03,1.45,0.79,0.39,2,160.4,157.4,2979,2964,3032,3111,256.73,74.03,90.05,25.97,196.37,56.63,150.41,43.37,135.83,39.17,116.06,33.47,94.88,27.36,0,1,silver
blue,perxly,Epic,00a3c71bb3dc440bbf19f898dd02abf4,23,Octane,351,348,1,1,0,3,5,5,2,33.33,364,46.76,1788,1295,493,17,42,354,200,154,2,13,73.03,27.92,159,408,0,1388,438887,195.66,55.77,131.57,37.5,23.63,6.73,194.01,55.3,141.44,40.31,15.41,4.39,0.72,0.24,3,162.2,160.9,2453,2463,2366,3111,257.61,73.42,93.25,26.58,190.83,54.39,160.04,45.61,123.8,35.28,130.4,37.17,96.66,27.55,0,0,silver
orange,GoofysPipe,PS4,GoofysPipe,10901,Shokunin GXT,351,800,3,1,3,3,9,4,3,100,333,42.38,1747,1103,644,12,48,319,187,132,2,11,57.6,18.96,131,96,12,1391,438326,198.77,56.67,120.15,34.26,31.83,9.07,205.97,58.72,130.72,37.27,14.06,4.01,8.27,0.26,32,148.5,170.7,2403,1950,2813,2775,247.56,70.58,103.19,29.42,258.38,73.66,92.38,26.34,194.54,55.46,115.86,33.03,40.36,11.51,1,0,silver
orange,C.Reach_Around,Epic,12d18acb686a402caec3a5a1cc0aee22,4284,Fennec,351,334,2,0,1,2,9,4,1,100,323,35.52,1532,783,749,10,66,79,0,79,0,7,39.19,30.08,258,216,0,1299,407620,224.7,64.15,109.59,31.29,15.99,4.56,243.59,69.54,102.45,29.25,4.25,1.21,7.18,0.15,48,170.8,147.6,2465,2661,2228,2775,248.66,70.99,101.62,29.01,284.94,81.34,65.35,18.66,216.01,61.67,105.88,30.23,28.4,8.11,0,0,silver
blue,GoofysPipe,PS4,GoofysPipe,10901,Shokunin GXT,393,991,4,0,5,4,12,5,2,100,351,48.69,2199,1720,479,20,42,527,329,198,4,17,47.72,47.01,201,288,71,1322,465235,239.97,61.31,119.29,30.48,32.16,8.22,217.98,55.69,166.82,42.62,6.62,1.69,4.79,0.18,26,177.4,190.1,2010,1660,2477,2883,281.71,71.97,109.71,28.03,242.5,61.95,148.93,38.05,190.08,48.56,113.03,28.88,88.32,22.56,1,0,silver
