color,player name,platform,player id,car id,car name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,goals conceded while last defender,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,avg speed,total distance,time slow speed,percentage slow speed,time boost speed,percentage boost speed,time supersonic speed,percentage supersonic speed,time on ground,percentage on ground,time low in air,percentage low in air,time high in air,percentage high in air,time powerslide,avg powerslide time,count powerslide,time most back,time most forward,avg distance to ball,avg distance to ball has possession,avg distance to ball no possession,avg distance to team mates,time behind ball,percentage behind ball,time in front of ball,percentage in front of ball,time defensive half,percentage defensive half,time offensive half,percentage offensive half,time defensive third,percentage defensive third,time neutral third,percentage neutral third,time offensive third,percentage offensive third,demos inflicted,demos taken,rank
orange,Rcxcrd,PS4,Rcxcrd,23,Octane,373,1153,4,0,6,9,9,3,3,44.44,407,50.63,2249,1903,346,24,33,607,474,133,6,12,34.64,71.83,360,519,137,1591,533053,158.02,43.1,134.48,36.68,74.13,20.22,177.05,48.29,160.11,43.67,29.47,8.04,5.78,0.08,72,184.4,164.1,2195,2007,2407,2977,294.41,80.3,72.21,19.7,235.84,64.33,130.78,35.67,169.84,46.33,124.93,34.08,71.85,19.6,0,2,grand
orange,SyKhO0,Epic,bb94f593255c4c6ab26aee142bd7f73c,4284,Fennec,373,214,0,1,0,2,9,3,0,0,390,52.9,2400,1611,789,17,71,425,200,225,2,19,42.55,31.25,316,94,3,1537,516936,164.59,44.93,147.19,40.18,54.58,14.9,217.51,59.37,136,37.12,12.86,3.51,10.89,0.11,96,169,182,2430,2447,2394,2977,253.91,69.31,112.45,30.69,217.62,59.4,148.74,40.6,153.84,41.99,128.79,35.15,83.74,22.86,2,2,grand
blue,sach,Steam,76561198067448608,23,Octane,361,738,2,1,4,2,10,2,0,100,437,51.13,2450,1707,743,21,60,263,100,163,1,15,39.12,20.6,250,414,5,1564,517173,163.55,45.75,128.14,35.84,65.82,18.41,197.73,55.31,147.31,41.2,12.48,3.49,4.84,0.16,31,158.9,180.5,2155,2225,2066,3113,251.48,70.34,106.04,29.66,251.34,70.3,106.17,29.7,183.1,51.22,123.42,34.52,50.99,14.26,0,1,grand
blue,Res,Steam,76561198287305161,4284,Fennec,361,551,2,0,1,3,10,2,2,66.67,398,40.16,2340,1533,807,16,71,540,300,240,3,21,75.83,21.67,339,74,4,1571,519899,162.35,45.39,152.86,42.74,42.47,11.87,200.5,56.06,139.16,38.91,18.02,5.04,6.96,0.14,49,183.8,156.2,2627,2437,2882,3113,256.91,71.83,100.77,28.17,243.81,68.16,113.87,31.84,181.23,50.67,108.15,30.24,68.3,19.1,0,1,grand
orange,yam_E-Dog,PS4,yam_E-Dog,23,Octane,361,422,1,1,0,5,5,4,1,20,402,55.19,2569,1819,750,22,59,593,268,325,3,22,36.28,45.4,384,394,31,1541,513862,167.34,46.45,150.52,41.78,42.39,11.77,209.69,58.21,135.73,37.68,14.83,4.12,5.08,0.12,41,150.6,186.2,2369,2075,2603,3137,262.27,72.8,97.98,27.2,202.32,56.16,157.94,43.84,123.99,34.42,144.21,40.03,92.06,25.55,1,0,grand
orange,Quedzal-,Epic,77037378b9e44f77a6fb1375e01215d2,23,Octane,361,320,1,0,0,5,5,4,3,20,455,53.25,2711,2121,590,26,55,692,485,207,6,19,43.78,35.81,698,434,114,1599,535990,157.01,43.51,123.73,34.29,80.08,22.19,217.52,60.28,125.09,34.67,18.22,5.05,8.45,0.15,58,187.4,150.1,2452,2469,2407,3137,262.47,72.74,98.36,27.26,222.02,61.53,138.81,38.47,141.27,39.15,138.5,38.38,81.05,22.46,1,0,grand
blue,pr0d,Steam,76561199017121891,23,Octane,213,607,2,2,2,6,2,0,0,33.33,366,48.84,1254,905,349,11,33,618,498,120,6,10,12.6,29.11,208,230,101,1431,272229,110.21,52.95,71.26,34.24,26.67,12.81,120.69,57.98,76.49,36.75,10.97,5.27,3.19,0.11,28,87.2,112.3,2218,2245,2220,2798,169.47,81.42,38.68,18.58,113.89,54.72,94.26,45.28,77.16,37.07,73.74,35.43,57.25,27.5,0,1,grand
blue,Pain.,Epic,576375e42ae34f2d9b4efd62175a4b9b,4284,Fennec,213,364,2,1,0,3,2,0,0,66.67,352,52.04,1128,763,365,9,33,136,0,136,0,12,12.08,19.41,56,152,0,1420,268688,117.36,56.4,73.49,35.32,17.23,8.28,120.73,58.02,66,31.72,21.35,10.26,5.31,0.1,53,115.1,86.4,2159,2126,2209,2798,176.9,85.02,31.18,14.98,116.74,56.1,91.34,43.9,76.33,36.68,82.67,39.73,49.09,23.59,1,1,grand
orange,Iapis.,Epic,9b4f6df2817a45b4bbbe89f132e0288f,23,Octane,213,226,0,0,2,1,9,4,2,0,418,51.33,1416,1129,287,15,28,294,238,56,3,6,19.83,26.91,115,237,3,1469,282497,110.24,52.31,72.1,34.21,28.42,13.48,113.66,53.93,81.01,38.44,16.08,7.63,4.86,0.11,44,113.3,88,1985,1501,2359,2707,151.81,72.03,58.94,27.97,161.14,76.46,49.62,23.54,122.8,58.27,57.26,27.17,30.69,14.56,0,0,grand
orange,TheGoatAspect,PS4,TheGoatAspect,4284,Fennec,213,218,0,0,2,1,9,4,2,0,423,46.27,1396,982,414,12,37,450,318,132,4,11,15.87,21.73,263,235,81,1437,272701,111.47,54.2,72.3,35.16,21.88,10.64,130.75,63.58,71.37,34.7,3.54,1.72,4.83,0.13,37,89.7,108.6,2385,2258,2486,2707,140.74,68.43,64.92,31.57,138.12,67.16,67.54,32.84,102.29,49.74,72.43,35.22,30.94,15.04,2,1,grand
