color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Thoqax (compte vendu);Steam;76561198083560472;4284;Fennec;373;904;4;0;3;8;11;4;2;50;445;47.24;2542;1779;763;21;71;473;245;228;3;20;33.68;31.65;352;186;8;1595;518806;157.74;43.04;147.19;40.16;61.58;16.8;196.28;53.55;151.73;41.4;18.51;5.05;7;0.11;65;181.3;161.4;2176;2057;2292;2868;281.1;76.7;85.41;23.3;244.38;66.68;122.13;33.32;174.32;47.56;116.56;31.8;75.64;20.64;1;2
blue;;Nuevee100;Epic;0ba2f82d8ab340f8bc3460d8a094c743;23;Octane;373;604;2;2;2;8;11;4;2;25;458;40.53;2511;1721;790;20;68;477;285;192;3;17;51.73;25.24;350;282;14;1560;504503;170.7;46.86;137.67;37.79;55.89;15.34;207.35;56.92;138.3;37.97;18.61;5.11;4.35;0.15;29;164.9;173.1;2281;2270;2371;2868;277.33;76.14;86.93;23.86;231.13;63.45;133.13;36.55;167.55;46;119.97;32.94;76.74;21.07;2;2
orange;;jacal3c;Epic;b4d08af755b1458494a7bd1471d321c8;23;Octane;373;856;4;0;3;8;16;6;3;50;360;34.61;2036;1282;754;15;65;368;187;181;2;16;65.9;16.06;121;217;12;1551;513262;168.8;45.32;160.61;43.12;43.03;11.55;184.31;49.49;163.18;43.81;24.94;6.7;7.05;0.12;57;192.3;150.9;1959;1847;2066;2707;287.03;77.07;85.4;22.93;255.62;68.63;116.82;31.37;182.22;48.93;121.16;32.53;69.06;18.54;3;0
orange;;jake;Steam;76561198802219403;23;Octane;373;735;0;3;6;3;16;6;3;0;513;44.2;2897;2137;760;24;60;756;564;192;6;17;51.1;30.54;546;254;35;1642;530305;141.76;39.01;150.32;41.37;71.28;19.62;195.81;53.89;146.31;40.26;21.25;5.85;7.12;0.09;81;150.4;183;2317;2098;2488;2707;243.3;66.96;120.07;33.04;234.05;64.41;129.31;35.59;166.34;45.78;121.19;33.35;75.83;20.87;1;3
