color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;PookyNatalie;Epic;0ee9d7529d214837980b17baef96852f;23;Octane;148;531;3;0;0;7;1;1;1;42.86;589;50.22;1245;951;294;13;26;217;59;158;1;14;14.3;27.36;175;255;40;1548;205222;68.23;46.1;49.28;33.29;30.51;20.61;65.3;44.12;63.11;42.64;19.61;13.25;2.13;0.08;27;51.2;85.3;1909;1780;1970;3116;117.29;79.24;30.73;20.76;79.99;54.04;68.03;45.96;56.32;38.05;43.26;29.23;48.44;32.73;1;0
blue;;Boxed_by_Ralphie;PS4;Boxed_by_Ralphie;4284;Fennec;148;134;0;2;0;1;1;1;0;0;194;54.17;660;392;268;5;16;83;0;83;0;7;10.09;9;0;107;0;1235;160920;100.17;67.64;42.82;28.91;5.1;3.44;94.17;63.59;48.72;32.9;5.2;3.51;0.6;0.6;1;92.7;45.2;3011;2878;3282;3116;116.26;78.51;31.82;21.49;86.15;58.17;61.94;41.83;65.52;44.25;44.28;29.9;38.28;25.85;0;0
orange;;EerieDoctor3588;XBox;5b97a531f4010900;23;Octane;148;154;1;0;0;0;8;3;0;0;386;39.66;903;666;237;7;20;60;0;60;0;5;27.12;3.9;28;33;0;1238;159209;94.84;65.5;44.44;30.69;5.51;3.81;80.81;55.81;57.94;40.02;6.04;4.17;0;0;0;73;61.6;2558;1401;2921;3104;85.02;58.72;59.77;41.28;105.84;73.1;38.94;26.9;78.28;54.07;49.09;33.91;17.41;12.03;0;1
orange;;otso2011;PS4;otso2011;11677;;148;78;0;0;0;1;8;3;3;0;216;33.26;531;375;156;4;14;29;0;29;0;3;46.17;13.42;89;24;0;1317;173040;88.97;60.14;49.54;33.48;9.44;6.38;94.11;63.61;49.1;33.19;4.74;3.2;0;0;0;68.6;69.4;2470;1865;2702;3104;86.22;58.28;61.73;41.72;111.23;75.18;36.72;24.82;97.33;65.79;25.07;16.94;25.55;17.27;0;0
