color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Blaze_C17caz22oz;PS4;Blaze_C17caz22oz;4284;Fennec;289;453;1;0;3;0;8;4;1;0;289;53.9;1423;1175;248;13;23;159;100;59;1;5;15.48;26.4;229;133;0;1271;327242;184.86;65.6;83.74;29.72;13.21;4.69;164.39;58.34;108.33;38.44;9.07;3.22;2.71;0.39;7;126.7;146.2;2208;1786;2602;2688;185.3;65.76;96.5;34.24;222.7;79.02;59.11;20.98;170.97;60.67;76.42;27.12;34.42;12.21;0;2
blue;;BassThrone83511;XBox;4ff76639f4010900;2070;Werewolf;289;211;0;1;1;1;8;4;3;0;120;51.52;773;490;283;8;25;67;0;67;0;7;18.23;45.94;141;318;9;1199;313196;203.84;71.43;71.56;25.08;9.96;3.49;200.4;70.23;84.27;29.53;0.69;0.24;2.99;0.37;8;149.8;127.3;2426;2465;2432;2688;200.75;70.35;84.61;29.65;222.12;77.84;63.23;22.16;162.32;56.88;109.85;38.5;13.19;4.62;0;1
orange;;Adake Theganksta;Epic;35bf521a991d4725bde8930ce3e52b9e;31;Venom;289;457;2;2;0;6;1;1;1;33.33;319;44.97;1371;1026;345;12;30;293;149;144;2;13;40.09;23.31;126;182;60;1433;380198;148.82;51.59;123.5;42.82;16.13;5.59;178.52;61.89;101.77;35.28;8.16;2.83;4.9;0.26;19;133;137.6;2411;2456;2351;3255;230.86;80.03;57.59;19.97;161.33;55.93;127.11;44.07;100.55;34.86;117.24;40.64;70.66;24.5;0;0
orange;;St X;Epic;799fafb72ed7487185537389a745d2f2;4284;Fennec;289;420;2;2;0;2;1;1;0;100;315;48.32;1530;1140;390;14;33;306;174;132;2;11;33.34;40.75;313;259;25;1384;368865;165.56;57.33;103.85;35.96;19.35;6.7;194.74;67.44;88.1;30.51;5.92;2.05;2.33;0.29;8;138.3;132.7;2689;2599;2684;3255;234.78;81.31;53.98;18.69;155.28;53.77;133.48;46.23;102.97;35.66;110.17;38.15;75.62;26.19;3;0
