color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;paulaneur;Psynet;7af64c64dda6ed15;23;Octane;344;563;2;1;3;2;6;2;1;100;198;52.88;1153;673;480;9;42;331;194;137;2;12;24.59;32.37;258;249;12;1179;373591;236.05;68.8;93.15;27.15;13.88;4.05;212.15;61.84;120.36;35.08;10.57;3.08;0;0;0;149.2;178.8;1963;1773;2112;2700;247.61;72.17;95.47;27.83;215.55;62.83;127.53;37.17;156.51;45.62;107.67;31.38;78.9;23;0;0
blue;;mams31zetaa;PS4;mams31zetaa;23;Octane;344;266;1;1;0;0;6;2;1;0;315;44.05;1653;1223;430;14;37;144;0;144;0;12;67.61;45.51;597;188;0;1480;472123;173.5;50.5;134.2;39.06;35.88;10.44;221.41;64.44;117.47;34.19;4.71;1.37;0;0;0;181.3;149.2;2668;2343;3051;2700;257.41;74.92;86.17;25.08;225.23;65.55;118.36;34.45;176.67;51.42;98.18;28.57;68.74;20.01;0;0
orange;;Kosmokz;Epic;04e614cdcaa6449b966cf22f24703c59;23;Octane;344;382;2;0;0;4;2;3;1;50;159;19.26;700;100;600;1;51;349;100;249;1;21;114.2;7.17;62;10;0;1254;396447;227.98;67.04;103.21;30.35;8.87;2.61;205.89;60.55;125.22;36.82;8.95;2.63;0;0;0;146.4;190.4;1818;1568;2041;2601;222.81;65.52;117.26;34.48;181.5;53.37;158.56;46.63;131.71;38.73;93.75;27.57;114.61;33.7;0;0
orange;;antho-lecking83;Epic;ffc73cc93d654597a0ca6354d049671b;2269;Fast & Furious Nissan Skyline;344;142;0;0;0;2;2;3;2;0;352;56.19;2076;1703;373;24;33;117;21;96;2;8;19.89;55.96;294;696;178;1403;445898;181.6;52.9;133.89;39;27.78;8.09;213.81;62.28;123.22;35.89;6.25;1.82;0.07;0.07;1;203.6;142.5;2348;2630;2146;2601;251.56;73.28;91.72;26.72;221.42;64.5;121.86;35.5;165.11;48.1;94.53;27.54;83.63;24.36;0;0
