color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;silentbughunter;PS4;silentbughunter;4284;Fennec;374;629;3;0;2;4;8;3;2;75;230;58.26;1689;1292;397;16;37;260;185;75;2;8;10.52;84.35;176;341;30;1222;410595;255.47;68.85;102.02;27.5;13.54;3.65;237.36;63.97;123.19;33.2;10.47;2.82;3;1;3;152.1;207.7;1774;1745;1777;2512;274.2;73.9;96.83;26.1;275.15;74.16;95.88;25.84;218.21;58.81;92.39;24.9;60.43;16.29;0;0
blue;;SPONGEBOB018087;XBox;a138eddff9010900;4284;Fennec;374;393;1;1;2;3;8;3;1;33.33;176;36.63;1166;800;366;8;26;196;100;96;1;8;68.91;95.54;236;0;0;1071;356260;277.15;74.9;82.43;22.28;10.46;2.83;296.29;80.07;73.36;19.82;0.39;0.11;2.21;0.32;7;217.6;149.4;2552;2576;2511;2512;292.2;78.96;77.84;21.04;302.74;81.81;67.3;18.19;232.39;62.8;108.23;29.25;29.42;7.95;0;0
orange;;Kosmokz;Epic;04e614cdcaa6449b966cf22f24703c59;23;Octane;374;488;1;2;1;5;7;4;2;20;191;35.67;1001;591;410;7;35;298;42;256;1;22;78.44;30.39;87;118;67;1179;396732;267.34;72.42;94.52;25.6;7.29;1.97;243.36;65.92;117.99;31.96;7.8;2.11;0;0;0;170.5;188.8;1878;1920;1793;2227;267.12;72.36;102.03;27.64;183.3;49.65;185.85;50.35;133.66;36.21;118.61;32.13;116.88;31.66;0;0
orange;;zRxzzer;PS4;zRxzzer;23;Octane;374;414;2;1;0;3;7;4;2;66.67;274;54.08;1790;1443;347;19;32;241;83;158;3;14;34.99;100.34;389;480;220;1307;447046;226.26;60.61;130.26;34.89;16.79;4.5;263;70.45;104.58;28.01;5.72;1.53;4.7;0.31;15;196.8;160.5;2339;2160;2544;2227;269.38;72.16;103.93;27.84;223.73;59.93;149.57;40.07;167.66;44.91;105.65;28.3;99.99;26.79;0;0
