color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Kosmokz;Epic;04e614cdcaa6449b966cf22f24703c59;23;Octane;319;360;2;0;0;3;4;5;4;66.67;234;29.38;858;454;404;5;32;84;0;84;0;7;52.38;10.64;150;45;0;1260;344586;200.15;65.28;93.81;30.6;12.64;4.12;201.32;65.66;99.51;32.46;5.77;1.88;0.54;0.13;4;234.1;220.5;2391;2286;2515;3311;222.82;72.67;83.79;27.33;221.66;72.3;84.94;27.7;177.77;57.98;87.75;28.62;41.09;13.4;0;4
blue;;GurkeFmR;Psynet;f4915f8ea2c38a21;4284;Fennec;319;176;1;0;0;3;4;5;1;33.33;374;54.84;760;652;108;9;9;0;0;0;0;0;24.14;6.99;29;247;0;1510;200428;84.05;51.91;60.38;37.29;17.48;10.8;90.25;55.74;64.02;39.54;7.63;4.71;4.34;0.16;27;92;72.1;2998;2851;3172;3311;121.75;75.2;40.16;24.8;110.85;68.47;51.05;31.53;93.35;57.66;40.71;25.15;27.84;17.2;0;0
orange;;RockStar4301;Epic;b864a2075f6b40bea94a97487d0f3e77;1919;Centio;319;661;4;0;2;3;6;3;0;133.33;339;52.94;2121;1678;443;22;40;381;212;169;3;15;33.4;72.24;689;543;98;1437;413982;175.33;55.06;111.35;34.97;31.74;9.97;228.67;71.81;89.75;28.19;0;0;1.42;0.28;5;137.6;155.5;2256;2188;2215;3151;226.65;71.18;91.76;28.82;177.59;55.77;140.83;44.23;128.55;40.37;102.37;32.15;87.5;27.48;3;0
orange;;ismail_akin;PS4;ismail_akin;4284;Fennec;319;378;1;1;1;1;6;3;3;100;374;39.57;1860;1542;318;17;27;244;100;144;1;12;44.04;58.48;249;157;0;1383;396431;173.41;54.4;119.33;37.43;26.05;8.17;193.95;60.84;120.29;37.73;4.54;1.42;4.23;0.21;20;155.5;136;2674;2384;2996;3151;251.7;78.96;67.08;21.04;188.94;59.27;129.84;40.73;146.94;46.09;87.81;27.54;84.04;26.36;1;0
