color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;simsclark;Steam;76561198065821953;11534;;376;436;2;0;1;4;5;3;3;50;275;41.14;1607;920;687;11;58;369;130;239;2;20;48.69;16.4;252;183;69;1365;463617;215.06;57.29;129.73;34.56;30.6;8.15;221.94;59.12;148.03;39.43;5.42;1.44;2.86;0.15;19;141.9;221.7;2227;2083;2344;4013;269.32;71.74;106.08;28.26;218.78;58.28;156.62;41.72;170.05;45.3;104.07;27.72;101.27;26.98;0;0
blue;;mattydomingo;PS4;mattydomingo;1416;Breakout Type-S;376;396;2;0;1;3;5;3;0;66.67;254;40.91;1594;1056;538;12;46;138;0;138;0;12;38.88;41.08;237;146;0;1243;417415;236.49;63.32;118.92;31.84;18.08;4.84;262.68;70.33;107.41;28.76;3.4;0.91;5.53;0.39;14;226.8;134;3840;4040;3626;4013;290.62;77.81;82.87;22.19;291.13;77.95;82.36;22.05;233.32;62.47;104.82;28.07;35.35;9.46;1;0
orange;;yBBydddy;Epic;45d193d4073742398fc62554787f6908;23;Octane;376;641;3;0;0;4;7;4;1;75;415;46.48;2421;1846;575;22;52;632;451;181;5;17;52.89;20.7;167;361;48;1387;475298;200;53.72;146.01;39.22;26.31;7.07;208.31;55.95;159.56;42.86;4.45;1.2;3.66;0.12;30;124.9;232.2;2374;2087;2687;3663;245.45;65.92;126.87;34.08;242.26;65.07;130.06;34.93;180.54;48.49;105.73;28.4;86.05;23.11;0;1
orange;;Getoffmymeaf;XBox;34c04fdffa010900;23;Octane;376;290;0;1;2;1;7;4;3;0;328;53.04;2101;1734;367;20;33;332;276;56;3;5;21.96;63.29;454;284;23;1349;461131;217.97;58.49;126.67;33.99;28.01;7.52;251.24;67.42;117.24;31.46;4.17;1.12;6.41;0.43;15;233.9;124.6;3160;3423;2907;3663;292.26;78.43;80.39;21.57;282.58;75.83;90.07;24.17;207.89;55.79;134.32;36.04;30.44;8.17;0;0
