color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Udjed30;Epic;8f907a67211a470381560fe9a97d03eb;4284;Fennec;371;764;2;0;5;4;12;4;2;50;330;53.15;1993;1527;466;20;42;311;121;190;3;17;33.26;46.26;246;500;187;1371;464908;206.88;55.7;138.59;37.31;25.96;6.99;233.46;62.85;125.81;33.87;12.16;3.27;4.2;0.16;27;226.5;138.9;2512;2256;2734;2786;296.97;79.95;74.46;20.05;225.4;60.68;146.03;39.32;182.53;49.14;100.19;26.97;88.71;23.88;0;0
blue;;onsray;Steam;76561198354943280;23;Octane;371;424;1;1;2;2;12;4;2;50;465;49.9;2752;2239;513;28;46;1356;1064;292;13;25;46.07;33.49;481;560;235;1601;534257;156.44;42.47;140.03;38.02;71.86;19.51;229.21;62.23;133.47;36.24;5.65;1.53;6.87;0.12;57;135.4;220.1;2093;2103;2082;2786;250.05;67.89;118.28;32.11;202.22;54.9;166.11;45.1;159.17;43.21;82.04;22.27;127.12;34.51;2;1
orange;;.Multi;Steam;76561197998893952;1568;Octane ZSR;371;657;3;0;0;6;6;3;2;50;325;32.54;1707;798;909;9;71;429;100;329;1;29;75.83;12.94;133;101;0;1355;455530;215.06;58.57;120.98;32.95;31.15;8.48;208.63;56.82;153.68;41.85;4.87;1.33;8.29;0.15;57;153.5;199;2044;1767;2388;3102;242.28;65.98;124.91;34.02;214.11;58.31;153.08;41.69;174.52;47.53;100.18;27.28;92.49;25.19;1;1
orange;;S2_3MA;Epic;4622f43a1e694ff0897a44aebaa838f5;4284;Fennec;371;489;1;0;1;6;6;3;1;16.67;368;45.86;2187;1759;428;20;37;399;247;152;3;13;55.6;28.16;261;242;52;1378;465750;209.15;56.79;131.92;35.82;27.19;7.38;226.98;61.63;125.15;33.98;16.14;4.38;8.25;0.26;32;203.8;153.3;2490;2484;2505;3102;277.92;75.47;90.35;24.53;260.34;70.69;107.93;29.31;204.33;55.49;97.34;26.43;66.59;18.08;0;1
