color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Geo_1411;PS4;Geo_1411;23;Octane;151;427;3;1;0;2;0;0;0;150;343;52.57;888;632;256;8;23;105;0;105;0;9;15.17;18.22;80;188;3;1364;179869;81.27;53.94;57.72;38.31;11.69;7.76;89.84;59.62;58.42;38.77;2.43;1.61;0.62;0.62;1;73.7;59.3;2711;2277;2870;2969;125.05;82.98;25.64;17.02;92.61;61.46;58.08;38.54;69.92;46.4;44.78;29.72;35.99;23.88;1;0
blue;;samsonss13;PS4;samsonss13;4284;Fennec;151;342;2;1;0;2;0;0;0;100;435;43.01;907;787;120;9;10;227;167;60;2;5;24.31;22.89;268;80;0;1419;185388;80.24;53.14;57.75;38.25;13.01;8.62;98.14;65;47.74;31.62;5.11;3.38;0.74;0.74;1;58;78.3;2224;2168;2208;2969;128.36;85.01;22.64;14.99;88;58.28;63;41.72;65.93;43.66;44.62;29.55;40.45;26.79;0;0
orange;;GoofysPipe;PS4;GoofysPipe;10901;Shokunin GXT;151;38;0;0;0;0;4;5;5;0;430;50.89;956;781;175;11;15;114;54;60;1;5;18.43;23.11;246;305;45;1544;199669;69.19;46.65;54.12;36.49;25;16.86;87.46;58.98;55.32;37.3;5.52;3.72;2.05;0.17;12;68.8;61.9;2494;2211;2605;2708;82.07;55.34;66.23;44.66;100.52;67.78;47.78;32.22;71.34;48.11;57.9;39.04;19.06;12.85;0;1
orange;;C.Reach_Around;Epic;12d18acb686a402caec3a5a1cc0aee22;4284;Fennec;151;18;0;0;0;0;4;5;0;0;236;37.49;539;187;352;2;30;168;87;81;1;7;25.31;10.05;127;18;14;1268;169040;96.88;64.06;45.08;29.81;9.27;6.13;106.39;70.35;44.85;29.65;0;0;4;0.15;26;65.5;69.6;2274;2318;2218;2708;90;59.51;61.24;40.49;108.5;71.74;42.74;28.26;79.17;52.35;47.22;31.22;24.85;16.43;0;0
