color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;GoofysPipe;PS4;GoofysPipe;10901;Shokunin GXT;344;818;3;0;3;7;4;2;1;42.86;367;50.72;2014;1550;464;18;43;543;367;176;4;16;40.77;24.17;234;263;32;1376;443926;190.04;55.21;134.79;39.16;19.38;5.63;195.02;56.66;132.09;38.37;17.11;4.97;7.86;0.16;48;171.4;184.1;1768;1574;2084;2666;245.38;71.29;98.83;28.71;190.96;55.48;153.25;44.52;154.02;44.74;67.89;19.72;122.31;35.53;4;0
blue;;C.Reach_Around;Epic;12d18acb686a402caec3a5a1cc0aee22;4284;Fennec;344;122;0;1;0;1;4;2;1;0;215;39.9;1277;614;663;8;58;376;166;210;2;19;45.89;25.3;50;187;33;1334;397528;215.9;63.3;109.36;32.06;15.8;4.63;230.88;67.69;106.35;31.18;3.83;1.12;7.34;0.18;40;189.9;141.5;2371;2577;1925;2666;247.4;72.54;93.66;27.46;209.19;61.34;131.87;38.66;145.32;42.61;117.58;34.47;78.16;22.92;0;1
orange;;iamyodaddyy23;PS4;iamyodaddyy23;7901;Fast & Furious Mazda RX-7;344;474;2;0;1;3;8;3;1;66.67;419;46.79;2179;1599;580;17;51;371;100;271;1;24;63.19;23.15;422;115;10;1475;471803;161.57;47.8;139.54;41.28;36.93;10.92;198.2;58.63;135.34;40.04;4.51;1.33;7.83;0.24;33;132.3;200;2225;1857;2394;2909;225.34;66.66;112.71;33.34;205.29;60.73;132.76;39.27;156.72;46.36;102.85;30.42;78.48;23.22;1;2
orange;;nachobalta30;PS4;nachobalta30;11949;;344;247;0;1;1;1;8;3;2;0;380;57.41;2110;1717;393;23;36;114;50;64;1;6;28.83;68.44;566;601;58;1378;437612;177.83;52.7;131.31;38.91;28.29;8.38;220.48;65.34;113.53;33.64;3.43;1.02;1.8;0.9;2;202.3;129.3;2427;2663;2317;2909;250.8;74.33;86.63;25.67;245.08;72.63;92.35;27.37;190.35;56.41;97.13;28.78;49.96;14.81;0;2
