color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Kabanos_Tyski2;Epic;4d57bec605064a36b009e7b40f182da9;4284;Fennec;352;647;1;0;5;3;9;2;1;33.33;344;49.99;2091;1495;596;17;51;440;300;140;3;12;56.35;22.51;205;204;0;1382;453357;199.34;56.58;106.09;30.11;46.86;13.3;207.46;58.89;136.7;38.8;8.13;2.31;2.5;0.14;18;200;136.9;2420;2353;2498;2906;258.85;73.48;93.44;26.52;264.81;75.17;87.48;24.83;215.23;61.09;82.59;23.44;54.47;15.46;1;0
blue;;****************;PS4;****************;4284;Fennec;352;488;2;1;1;3;9;2;1;66.67;351;48.47;1647;1255;392;15;33;208;99;109;1;9;30.63;30.34;189;244;0;1183;384729;245.41;70.4;81.64;23.42;21.55;6.18;210.91;60.5;128.67;36.91;9.02;2.59;6.65;0.15;43;134.5;198.9;2233;1801;2672;2906;209.58;60.12;139.02;39.88;233.62;67.02;114.98;32.98;195.39;56.05;79.81;22.89;73.4;21.06;0;1
orange;;Marthy McGray;Steam;76561198839543664;1856;JÃ¤ger 619;352;386;0;1;2;5;6;3;0;0;348;57.06;2099;1707;392;25;35;369;193;176;4;15;25.86;100.7;465;592;45;1380;453601;195.4;55.78;126.06;35.99;28.84;8.23;248.44;70.92;91.34;26.07;10.52;3;3.84;0.27;14;180.1;154.8;2842;2833;2886;3312;274.38;78.33;75.92;21.67;216.07;61.68;134.23;38.32;156.35;44.63;113.21;32.32;80.73;23.05;1;0
orange;;kubomajster4;PS4;kubomajster4;1568;Octane ZSR;352;372;2;0;0;4;6;3;3;50;290;48.22;1868;1488;380;18;32;454;347;107;5;9;46.24;80.87;410;311;152;1337;435009;201.23;57.63;123.96;35.5;23.99;6.87;226.71;64.92;116.58;33.39;5.9;1.69;1.89;0.27;7;161.1;178.1;2438;2298;2574;3312;262.99;75.32;86.19;24.68;191.46;54.83;157.72;45.17;136.5;39.09;107.04;30.65;105.64;30.25;0;1
