color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Tittouu_666;PS4;Tittouu_666;2853;Twinzer;362;406;2;0;0;3;6;3;3;66.67;295;45.92;1737;1325;412;15;37;198;89;109;1;10;60.45;36.45;689;185;20;1438;480059;185.97;51.86;135.56;37.8;37.06;10.33;219.84;61.31;133.12;37.12;5.64;1.57;5.01;0.14;35;159.9;189.5;2679;2375;2944;3598;242.97;67.76;115.62;32.24;235.4;65.65;123.19;34.35;176.3;49.16;102.4;28.56;79.89;22.28;0;1
blue;;9?0 h4mdo;Epic;a3dbb8f4d8f848ba93eb0c114e44adcc;23;Octane;362;172;0;0;0;1;6;3;0;0;272;45.34;1542;1045;497;12;44;292;152;140;2;13;42.08;30.16;34;166;54;1327;430711;213.08;59.74;130.7;36.64;12.92;3.62;219;61.4;129.22;36.23;8.47;2.37;1.45;0.73;2;197.5;149.7;3004;2761;3205;3598;277.96;77.93;78.74;22.07;259.99;72.89;96.71;27.11;210.27;58.95;90.24;25.3;56.19;15.75;0;1
orange;;Marthy McGray;Steam;76561198839543664;403;Dominus;362;504;3;0;0;5;4;2;0;60;304;60.22;1953;1556;397;24;36;431;358;73;5;7;16.28;115.99;481;721;152;1315;439891;221.06;61.36;114.72;31.85;24.46;6.79;279.15;77.49;80.22;22.27;0.87;0.24;3.78;0.38;10;160;187.5;2858;2715;2944;3454;259.83;72.13;100.41;27.87;235.13;65.27;125.11;34.73;180.6;50.13;109.7;30.45;69.94;19.41;2;0
orange;;Bastijn3110;XBox;885e1c5afa010900;23;Octane;362;314;0;1;2;1;4;2;2;0;322;51.79;1903;1541;362;20;33;561;405;156;5;13;40.51;59.9;207;469;96;1228;402635;234.98;65.34;99.71;27.72;24.95;6.94;227.76;63.33;123.59;34.36;8.29;2.31;4.1;0.26;16;188.8;155.5;2256;2072;2405;3454;272.06;75.65;87.57;24.35;242.92;67.55;116.72;32.45;184.3;51.25;106.43;29.59;68.91;19.16;0;0
