color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;sosageidk;Epic;9ddf80b541244f388b32f3278571ee79;4284;Fennec;369;811;2;2;4;7;14;3;0;28.57;438;44.7;2621;1898;723;20;56;790;578;212;6;18;58.09;35.16;165;113;25;1591;527975;154.05;42.59;141.38;39.09;66.26;18.32;161.34;44.61;177.22;49;23.14;6.4;6.25;0.1;63;138.2;211.5;2272;2161;2359;2967;262.21;72.49;99.49;27.51;240.84;66.59;120.86;33.41;178.5;49.35;101.28;28;81.93;22.65;2;2
blue;;norris;Steam;76561199019323285;4284;Fennec;369;786;2;1;5;4;14;3;3;50;369;54.96;2333;1743;590;22;55;177;49;128;1;12;35.25;47.14;140;499;61;1526;507850;173.87;47.94;149.5;41.22;39.32;10.84;208.74;57.55;139.78;38.54;14.17;3.91;8.47;0.12;70;212.5;141.6;2457;2265;2655;2967;291.87;80.47;70.82;19.53;266.06;73.36;96.63;26.64;191.66;52.84;124.27;34.26;46.76;12.89;0;2
orange;;Karina;Steam;76561198313458646;23;Octane;369;574;2;1;1;8;11;4;3;25;458;47.83;2742;1999;743;23;55;780;474;306;6;21;54.03;36.78;197;249;65;1637;549883;144.5;39.48;144.72;39.54;76.83;20.99;163.52;44.67;171.87;46.95;30.65;8.37;6.13;0.07;85;196.3;152.5;2355;2006;2738;3101;290.43;79.34;75.61;20.66;221.38;60.48;144.67;39.52;151.01;41.26;138.98;37.97;76.05;20.78;0;1
orange;;Sydney;Steam;76561199646530332;23;Octane;369;511;1;1;2;6;11;4;1;16.67;435;48.31;2746;1928;818;21;79;666;398;268;4;25;48.02;25.24;304;104;11;1648;554146;142.68;38.99;149.48;40.85;73.79;20.16;203.13;55.51;148.71;40.64;14.12;3.86;10.69;0.1;108;154.7;191.6;2392;2337;2464;3101;268.79;73.45;97.17;26.55;204.24;55.81;161.72;44.19;144.66;39.53;129.6;35.41;91.69;25.06;4;1
