replay_id,playlist,rank,color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
7b188d40-fafa-4e14-a1d0-610ecab1e611,ranked-doubles,bronze-1,blue;;Cxvzyy;XBox;296f3788f1010900;23;Octane;494;392;1;1;1;0;9;4;1;0;198;50.21;1644;1123;521;14;45;315;200;115;2;10;84.13;53.27;318;292;5;1253;564783;320.87;65.6;145.34;29.72;22.9;4.68;286.47;58.57;196.81;40.24;5.83;1.19;2.51;0.5;5;250.4;232;2420;2150;2602;2827;322.9;66.02;166.21;33.98;332.35;67.95;156.76;32.05;261.92;53.55;134.92;27.59;92.26;18.86;0;1
7b188d40-fafa-4e14-a1d0-610ecab1e611,ranked-doubles,bronze-1,orange;;mouron_integral;PS4;mouron_integral;23;Octane;494;540;3;0;0;3;2;3;0;100;309;53.08;2340;1890;450;23;39;478;200;278;2;23;92.92;49.08;327;414;0;1379;633432;275.21;55.76;192.01;38.9;26.38;5.34;311.63;63.13;168.92;34.22;13.05;2.64;4.11;0.46;9;262.2;212.5;2262;2043;2597;2464;363.27;73.6;130.33;26.4;278.25;56.37;215.35;43.63;213.47;43.25;131.07;26.55;149.05;30.2;2;0
7b188d40-fafa-4e14-a1d0-610ecab1e611,ranked-doubles,bronze-1,orange;;TONKsevenT3;XBox;2cc7fc0000000900;4284;Fennec;494;422;1;1;1;6;2;3;3;16.67;228;36.97;1710;1016;694;13;59;795;463;332;6;28;94.04;42.71;565;285;136;1308;601114;314.5;63.74;155.05;31.43;23.84;4.83;310.58;62.95;162.91;33.02;19.89;4.03;0.94;0.47;2;223.8;262;1936;1807;2056;2464;334.87;67.87;158.51;32.13;255.75;51.84;237.63;48.16;192.02;38.92;141.33;28.64;160.04;32.44;1;0
98464046-099c-4150-8c48-05ffe8a923dc,ranked-doubles,bronze-1,blue;;Orangesig32;Epic;1e9b7c9e60e6404786a7ba56d9bbad52;4284;Fennec;44;2;0;0;0;0;3;3;0;0;308;35.23;126;100;26;1;3;0;0;0;0;0;5.8;0.6;0;0;0;1206;25698;20.89;72.06;7.81;26.94;0.29;1;21.21;73.19;7.77;26.81;0;0;0;0;0;31;7.1;3418;2717;3661;2679;17.61;60.77;11.37;39.23;26.41;91.13;2.57;8.87;20.33;70.15;8.65;29.85;0;0;0;0
98464046-099c-4150-8c48-05ffe8a923dc,ranked-doubles,bronze-1,blue;;Glokk9ine 55;XBox;8786da26f5010900;23;Octane;44;2;0;0;0;0;3;3;3;0;243;36.62;148;100;48;1;4;112;100;12;1;1;19.59;0.72;0;0;0;1312;45063;30.97;70.45;11.31;25.73;1.68;3.82;33.2;75.52;10.76;24.48;0;0;0.71;0.36;2;17.1;23.2;3655;1974;4494;2679;20.24;46.04;23.72;53.96;36.49;83.01;7.47;16.99;25.43;57.85;13.72;31.21;4.81;10.94;0;0
98464046-099c-4150-8c48-05ffe8a923dc,ranked-doubles,bronze-1,orange;;Luaig 3s;Epic;1fe5e8db0c794e5fa7bf3aa9e1d220c5;23;Octane;44;318;2;1;0;2;0;0;0;100;378;25.75;136;78;58;1;5;34;0;34;0;3;5.57;1.84;51;21;0;1523;52288;24.79;56.39;16.08;36.58;3.09;7.03;20.38;46.36;19.57;44.52;4.01;9.12;0.62;0.05;12;10.1;20.6;2427;2157;2712;2775;42.46;96.61;1.49;3.39;21.75;49.49;22.2;50.51;17.53;39.88;10.84;24.66;15.59;35.46;0;0
98464046-099c-4150-8c48-05ffe8a923dc,ranked-doubles,bronze-1,orange;;Princess;Epic;c4dfceb88e804a3b84c529ef5e2d8a73;24;Paladin;44;112;1;0;0;1;0;0;0;100;233;20.47;47;0;47;0;4;35;0;35;0;3;0.93;0;8;0;0;1469;48481;25.5;58.07;16.07;36.6;2.34;5.33;28.86;65.73;12.39;28.22;2.66;6.06;1.84;0.18;10;24.5;10.3;2641;2741;2576;2775;41.95;95.56;1.95;4.44;21.54;49.07;22.36;50.93;17.26;39.31;11.38;25.92;15.27;34.78;0;0
bb672f57-39e1-420d-a77b-555e0831d24b,ranked-doubles,bronze-1,blue;;Orangesig32;Epic;1e9b7c9e60e6404786a7ba56d9bbad52;4284;Fennec;140;501;3;1;0;5;0;0;0;60;402;28.03;811;594;217;6;19;765;594;171;6;15;45.41;9.2;94;5;5;1386;160512;82.28;58.84;45.54;32.57;12.01;8.59;89.54;64.04;47.86;34.23;2.42;1.73;0;0;0;53.3;87.8;1925;1834;2036;2089;112.44;80.41;27.39;19.59;42.57;30.44;97.26;69.56;32.77;23.44;27.98;20.01;79.07;56.55;0;0
bb672f57-39e1-420d-a77b-555e0831d24b,ranked-doubles,bronze-1,blue;;Daniiidu;Epic;133bb4e2251447d9beca940846030eac;600;Ripper;140;298;2;1;0;2;0;0;0;100;223;19.4;232;100;132;1;11;72;0;72;0;6;17;7.73;40;0;0;1248;136638;94.78;67.78;37.62;26.9;7.43;5.31;108.27;77.43;26.5;18.95;5.06;3.62;0;0;0;87.9;34.5;2550;3216;1978;2089;119.67;85.58;20.16;14.42;52.1;37.26;87.73;62.74;36.2;25.89;43.46;31.08;60.17;43.03;0;0
bb672f57-39e1-420d-a77b-555e0831d24b,ranked-doubles,bronze-1,orange;;raghav_0099;PS4;raghav_0099;403;Dominus;140;54;0;0;1;0;7;5;2;0;222;46.46;223;187;36;2;3;12;0;12;0;1;9;1.37;31;12;0;1290;54353;35.04;69.75;14.11;28.09;1.09;2.17;33.01;65.7;16.26;32.36;0.97;1.93;0;0;0;41.6;35.2;3018;3854;2251;3939;27.39;54.52;22.85;45.48;44.32;88.23;5.91;11.77;37.33;74.3;12.91;25.7;0;0;0;0
bb672f57-39e1-420d-a77b-555e0831d24b,ranked-doubles,bronze-1,orange;;bo-_-573leb;PS4;bo-_-573leb;403;Dominus;140;0;0;0;0;0;7;5;3;0;196;40.75;36;0;36;0;3;0;0;0;0;0;0;0;0;0;0;876;18035;85.34;91.14;8.3;8.86;0;0;58.66;62.64;34.98;37.36;0;0;0;0;0;90.7;100.5;3840;4075;3246;3939;38.4;41.01;55.24;58.99;90.34;96.48;3.3;3.52;87.72;93.67;4.34;4.63;1.59;1.7;0;0
fa80ddd7-6a79-4498-a847-211de942406d,ranked-doubles,bronze-1,blue;;TJ;Psynet;0d2ba790039ca956;1018;Dominus GT;362;196;1;0;1;1;4;5;3;100;188;42.71;466;342;124;4;11;148;96;52;1;5;11.28;17.82;120;66;12;1202;179964;127.38;69.82;49.34;27.05;5.71;3.13;110.55;60.6;68;37.28;3.87;2.12;2.43;0.49;5;104;72.3;2006;1620;2275;1852;113.72;62.34;68.7;37.66;121.3;66.49;61.12;33.51;99.07;54.31;46.32;25.39;37.04;20.3;0;0
fa80ddd7-6a79-4498-a847-211de942406d,ranked-doubles,bronze-1,blue;;Orangesig32;Epic;1e9b7c9e60e6404786a7ba56d9bbad52;4284;Fennec;362;194;0;0;0;4;4;5;2;0;314;30.27;1573;1081;492;13;42;440;316;124;4;11;181.65;13.05;266;107;83;1275;421829;221.08;61.75;115.63;32.3;21.3;5.95;202.07;56.44;152.35;42.55;3.6;1.01;1.1;0.28;4;250.1;273.1;1535;1194;1818;1852;195.74;54.67;162.28;45.33;221.05;61.74;136.96;38.26;162.62;45.42;98.49;27.51;96.91;27.07;0;0
fa80ddd7-6a79-4498-a847-211de942406d,ranked-doubles,bronze-1,orange;;FALCON C0D;XBox;c06a5c16f4010900;403;Dominus;362;686;3;2;2;2;5;1;1;150;305;46.61;1649;1207;442;13;39;465;200;265;2;24;24.23;31.79;475;92;0;1299;430480;214.13;59.2;121.11;33.49;26.44;7.31;220.99;61.1;123.86;34.24;16.84;4.66;1.21;0.4;3;191;166.8;2288;2197;2375;2616;264.27;73.07;97.42;26.93;200.34;55.39;161.35;44.61;161.59;44.68;96.28;26.62;103.81;28.7;0;0
fa80ddd7-6a79-4498-a847-211de942406d,ranked-doubles,bronze-1,orange;;burkeyboy_23;PS4;burkeyboy_23;600;Ripper;362;375;2;0;1;2;5;1;0;100;165;51.82;1249;920;329;13;28;324;215;109;3;9;21.12;118.66;460;387;84;1258;416864;249.99;69.15;90.7;25.09;20.83;5.76;276.28;76.42;82.82;22.91;2.42;0.67;1.04;0.52;2;158.7;185.3;2595;2123;3103;2616;257.11;71.12;104.4;28.88;209.19;57.86;152.33;42.14;151.96;42.03;107.92;29.85;101.64;28.11;0;0
ff6a8045-fbcb-4a6f-97fc-cc669d9f5711,ranked-doubles,bronze-1,blue;;60 70;Epic;67e1a297b0ac4f9bb39bb6243d9ec954;23;Octane;110;26;0;0;0;0;2;1;1;0;219;65.58;430;388;42;5;4;0;0;0;0;0;9.38;24.8;10;116;0;1060;101351;81.36;75.73;21.23;19.76;4.85;4.51;63.72;59.31;41.55;38.68;2.16;2.01;0.29;0.14;2;88.9;83.1;1589;1622;1789;2943;70.07;65.22;37.37;34.78;85.17;79.28;22.26;20.72;69.27;64.48;34.13;31.77;4.03;3.75;0;0
