color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Russianthug007;PS4;Russianthug007;30;Merc;125;370;2;0;1;2;2;0;0;100;460;60.53;886;675;211;9;11;305;160;145;2;5;11.52;21.14;141;229;42;1519;169252;57.66;46.99;53.06;43.24;12;9.78;81;66;39.03;31.8;2.69;2.19;3.23;0.13;25;69.3;48.3;3010;3405;2694;3378;100.6;81.98;22.12;18.02;77.61;63.24;45.11;36.76;60.16;49.02;35.09;28.59;27.47;22.38;0;1
blue;;PorfirioDMdoSxo;Epic;1fe98078540d468aa1eb693283021117;23;Octane;125;84;0;1;0;0;2;0;0;0;332;33.35;673;481;192;6;16;68;8;60;1;5;37.38;3.94;126;118;91;1389;153709;72.08;58.75;41.18;33.57;9.42;7.68;71.41;58.21;45.77;37.31;5.49;4.48;4.66;0.15;32;55.5;66.2;2388;2327;2504;3378;91.4;74.5;31.28;25.5;68.13;55.54;54.54;44.46;47.91;39.06;45.36;36.98;29.4;23.97;0;1
orange;;C-munny9;PS4;C-munny9;4284;Fennec;125;136;0;0;0;2;2;2;1;0;390;33.47;733;434;299;5;25;267;184;83;2;7;22.54;4.72;92;65;15;1533;174601;59.74;47.5;54.74;43.52;11.3;8.98;76.69;60.98;46.44;36.92;2.64;2.1;3.13;0.13;25;49.8;64.9;2552;1918;3140;3899;79.16;62.94;46.62;37.06;77.07;61.28;48.7;38.72;59.99;47.69;34.27;27.25;31.52;25.06;1;0
orange;;Stoop_Kid_;Epic;d1c0e8c5b9c542c5a4e14450fbae151d;23;Octane;125;84;0;0;0;0;2;2;1;0;414;45.39;852;661;191;7;16;112;100;12;1;1;18.06;13.55;89;41;0;1401;159076;67.48;53.81;44.37;35.38;13.55;10.81;81.58;65.06;42.01;33.5;1.81;1.44;1.81;0.26;7;65.1;49.8;3317;3479;3168;3899;89.94;71.72;35.46;28.28;94;74.96;31.4;25.04;75.47;60.18;29.79;23.76;20.14;16.06;1;0
