color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Awags296;PS4;Awags296;29;Hotshot;362;649;3;1;0;4;3;2;0;75;198;24.55;1059;600;459;6;40;433;300;133;3;11;131.13;30.63;440;11;0;1318;426334;219.19;60.74;124.43;34.48;17.22;4.77;267.17;74.04;88.17;24.44;5.49;1.52;0;0;0;150.1;204.8;2546;2393;2762;3183;239.48;66.37;121.35;33.63;238.01;65.96;122.83;34.04;173.98;48.22;105.49;29.24;81.36;22.55;0;0
blue;;Graenoldo51;XBox;fcdc4c2ef9010900;4284;Fennec;362;258;1;1;0;1;3;2;2;100;476;50.2;2482;1992;490;28;44;189;51;138;1;13;48.09;46.52;938;706;57;1545;508463;166.89;46.11;131.81;36.42;63.2;17.46;209.87;57.99;144.23;39.85;7.8;2.16;3.45;0.43;8;213.9;143.9;2653;2456;2939;3183;252.42;69.75;109.48;30.25;252.72;69.83;109.18;30.17;184.62;51.01;125.81;34.76;51.48;14.22;0;0
orange;;Pryver6;PS4;Pryver6;4284;Fennec;362;268;1;0;0;2;5;4;1;50;262;46.38;1420;1012;408;14;37;404;300;104;3;9;24.54;102.63;659;397;3;1400;468463;211.27;58.38;121.45;33.56;29.16;8.06;248.17;68.58;110.01;30.4;3.7;1.02;1.61;0.27;6;146.8;196;2750;2387;3012;3266;222.75;61.56;139.12;38.44;205.27;56.72;156.61;43.28;139.22;38.47;125.71;34.74;96.94;26.79;0;0
orange;;theTacocat88;Epic;899909ba9ee64010a0f0eecfec288d36;23;Octane;362;264;1;0;1;1;5;4;3;100;417;46.26;2236;1682;554;20;49;267;128;139;2;13;88.51;40.36;557;315;71;1388;463988;194.65;53.85;133.29;36.88;33.51;9.27;240.74;66.61;111.42;30.83;9.28;2.57;8.76;0.49;18;195.4;145.6;2605;2599;2630;3266;252.42;69.84;109.03;30.16;228.35;63.18;133.1;36.82;155.57;43.04;132.33;36.61;73.55;20.35;0;0
