color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Max_Pearson2013;PS4;Max_Pearson2013;403;Dominus;360;345;2;0;0;2;2;2;0;100;317;42.45;1659;1187;472;15;40;334;161;173;3;15;82.72;36.52;886;320;145;1411;475410;197.82;54.96;127.51;35.42;34.63;9.62;242.03;67.24;110.99;30.83;6.94;1.93;0;0;0;188.5;155.7;2473;2049;2873;2493;235.18;65.34;124.78;34.66;222.08;61.7;137.88;38.3;162.84;45.24;112.29;31.2;84.83;23.57;2;0
blue;;Orangesig32;Epic;1e9b7c9e60e6404786a7ba56d9bbad52;4284;Fennec;360;286;1;1;0;2;2;2;2;50;318;24.72;1608;916;692;10;60;333;100;233;1;20;170;10.95;314;62;0;1267;425951;224.8;62.52;116.05;32.27;18.74;5.21;232.9;64.77;122.75;34.14;3.93;1.09;6.31;0.57;11;155.2;189.3;2171;2091;2180;2493;226.31;62.94;133.27;37.06;218.53;60.77;141.05;39.23;162.85;45.29;110.59;30.76;86.14;23.96;0;0
orange;;Vizard086;XBox;3e4c2fd5f4010900;12286;;360;302;1;1;0;1;4;3;3;100;278;47.32;1651;1258;393;14;34;171;68;103;1;9;46.87;54.33;467;146;36;1388;466297;201.77;56.07;134.95;37.5;23.15;6.43;248.86;69.15;106.38;29.56;4.63;1.29;7.66;0.38;20;178.2;184.5;2254;2194;2257;2847;250.98;69.74;108.9;30.26;206.29;57.32;153.58;42.68;138.04;38.36;130.84;36.36;90.99;25.28;0;0
orange;;TronNeo22;Epic;ad61225cf8744ab38af32bd3fbed836c;3451;Nimbus;360;158;1;0;0;1;4;3;0;100;168;49.92;1062;673;389;10;35;155;29;126;1;11;33.54;28.85;97;336;70;1135;364727;275.05;78.03;72.21;20.49;5.22;1.48;253.72;71.98;95.68;27.14;3.08;0.87;0.59;0.3;2;190.6;163.3;2369;2199;2519;2847;246.82;70.02;105.67;29.98;215.98;61.27;136.51;38.73;164.77;46.75;95.88;27.2;91.83;26.05;0;2
