color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;2F0R3IGN;Epic;f1c3f6f428784532b67f2c620fdaf3a3;4284;Fennec;371;487;3;0;0;5;4;3;1;60;316;49.35;1743;1362;381;18;26;645;420;225;6;13;43.6;79.66;332;439;181;1293;429905;233.06;63.5;111.38;30.35;22.56;6.15;248.17;67.62;108.75;29.63;10.08;2.75;0;0;0;208.5;158.8;2323;2164;2484;3069;272.31;74.2;94.69;25.8;212.67;57.95;154.34;42.05;151.17;41.19;119.25;32.49;96.59;26.32;2;0
blue;;RevolXation;XBox;975a07f7f5010900;403;Dominus;371;336;1;2;0;1;4;3;2;100;332;40.8;1827;1427;400;19;35;685;482;203;6;18;73.39;45.79;1092;472;117;1499;495958;175.54;47.83;153.29;41.77;38.15;10.4;256.73;69.96;105.24;28.68;5.01;1.37;8.59;1.23;7;163.3;193.6;2434;2671;2045;3069;236.34;64.4;130.64;35.6;209.41;57.06;157.58;42.94;155.82;42.46;112.78;30.73;98.39;26.81;4;1
orange;;Orangesig32;Epic;1e9b7c9e60e6404786a7ba56d9bbad52;4284;Fennec;371;533;3;0;0;4;6;4;3;75;275;23.23;1201;630;571;7;49;120;0;120;0;10;156.32;4.06;205;0;0;1188;378034;243.27;69.58;92.39;26.42;13.98;4;229.33;65.59;112.53;32.19;7.77;2.22;1.46;0.49;3;323.8;327.6;1911;1510;2216;1322;230.38;65.89;119.26;34.11;238.08;68.09;111.56;31.91;191.24;54.7;87.09;24.91;71.31;20.4;1;6
orange;;FAIZPJR;PS4;FAIZPJR;403;Dominus;371;0;0;0;0;0;6;4;1;0;99;16.86;36;0;36;0;3;12;0;12;0;1;15.03;0;0;0;0;1238;39365;65.78;84.89;10.54;13.6;1.17;1.51;65.99;85.16;9.38;12.1;2.12;2.74;0;0;0;36.6;41.9;1805;1117;1976;1322;44.13;56.96;33.35;43.04;64.26;82.93;13.23;17.07;61.11;78.86;8.11;10.47;8.27;10.67;0;0
