color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Jaysnt_d;PS4;Jaysnt_d;403;Dominus;402;493;3;0;0;2;2;3;1;150;188;41.74;1188;823;365;10;31;323;205;118;3;10;32.52;57.98;283;178;96;1237;454836;263.36;65.94;114.67;28.71;21.34;5.34;268.33;67.19;126.55;31.69;4.5;1.13;0;0;0;214.3;176.1;2412;1972;2884;2542;275.77;69.05;123.6;30.95;213.95;53.57;185.42;46.43;159.79;40.01;116.17;29.09;123.41;30.9;0;0
blue;;Orangesig32;Epic;1e9b7c9e60e6404786a7ba56d9bbad52;4284;Fennec;402;341;1;1;0;2;2;3;2;50;318;30.13;1930;1282;648;14;57;650;390;260;4;24;159.02;15.72;419;20;9;1249;462920;252.4;62.84;124.14;30.91;25.11;6.25;252.31;62.82;146.47;36.47;2.87;0.71;4.4;0.88;5;173.6;216.9;1987;1737;2237;2542;253.64;63.15;148.01;36.85;213.65;53.21;187.9;46.79;160.51;39.96;100.07;24.91;141.07;35.12;0;0
orange;;jarrod_scott5;PS4;jarrod_scott5;23;Octane;402;434;2;0;0;1;4;4;2;200;219;49.73;1518;947;571;17;49;459;317;142;5;12;25.94;80.32;310;758;182;1239;446412;257.97;64.25;123.63;30.79;19.88;4.95;266.17;66.3;129.3;32.21;6;1.49;6.63;0.83;8;221.8;160;2771;2409;3074;2985;273.95;68.24;127.53;31.76;271.46;67.62;130.01;32.38;233.75;58.22;89.31;22.25;78.42;19.53;0;0
orange;;Sienna67;PS4;jarrod_scott5;22;Breakout;402;261;1;0;1;1;4;4;2;100;214;30.42;1224;767;457;9;38;492;313;179;4;15;126.64;37.16;608;133;87;1254;460211;280.91;69.85;102.88;25.58;18.38;4.57;301.29;74.91;92.93;23.11;7.96;1.98;7.84;0.6;13;175.4;222;2152;2095;2184;2985;251.39;62.51;150.79;37.49;249.28;61.98;152.9;38.02;204.77;50.92;88.84;22.09;108.57;27;0;0
