color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;CoItron;Epic;ba159dd0a9b74c6381f966efe5c26881;23;Octane;101;232;1;0;0;3;0;0;0;33.33;546;49.06;852;763;89;8;8;128;92;36;1;3;13.13;14.85;128;38;7;1594;154750;36.9;36.45;45.95;45.39;18.38;18.16;54.44;53.78;45.22;44.67;1.57;1.55;1.77;0.16;11;39.1;58.2;2219;1993;2350;3458;81.18;80.19;20.05;19.81;62.81;62.05;38.41;37.95;45.46;44.91;29.05;28.7;26.71;26.39;0;0
blue;;freaxytom;XBox;99e9a36aff010900;4284;Fennec;101;8;0;0;0;0;0;0;0;0;268;57.82;415;232;183;4;16;32;0;32;0;3;6.95;10.8;83;172;0;1314;127098;58.71;58.04;39.98;39.52;2.47;2.44;65.21;64.46;32.34;31.97;3.61;3.57;0;0;0;62.3;39.1;2955;3265;2531;3458;78.73;77.83;22.43;22.17;68.66;67.87;32.51;32.13;57.14;56.48;23.62;23.35;20.4;20.17;0;0
orange;;FourRealJames;PS4;FourRealJames;4284;Fennec;101;130;0;0;2;0;3;1;0;0;352;61.62;552;342;210;5;20;25;0;25;0;3;2.39;16.42;85;173;0;1336;127018;56.9;56.23;40.43;39.95;3.86;3.81;69.16;68.34;32.04;31.66;0;0;1.87;0.23;8;46.1;51.7;2418;2147;2594;2778;78.8;77.87;22.4;22.13;73.51;72.65;27.68;27.35;59.53;58.82;23.35;23.07;18.32;18.1;0;0
orange;;broKINtrust-_-21;PS4;broKINtrust-_-21;23;Octane;101;24;0;0;0;0;3;1;1;0;254;44.84;371;264;107;3;9;124;100;24;1;2;1.67;14.28;69;35;0;1191;114895;77.32;76.44;19.91;19.68;3.92;3.88;73.65;72.81;23.66;23.39;3.85;3.81;1.94;0.14;14;51.5;47.1;2213;2052;2301;2778;76.16;75.29;25;24.71;64.05;63.32;37.11;36.68;52.92;52.31;28.59;28.26;19.65;19.42;0;0
