color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;SkyOnJah;Epic;f9264ed67e7f4ca29da7c7f5b2590123;4284;Fennec;330;433;2;0;1;5;10;6;2;40;395;53.21;2274;1809;465;20;42;386;168;218;2;20;55.12;18.71;135;207;31;1496;437147;154.88;47.5;145.4;44.59;25.81;7.91;208.17;63.84;111.31;34.13;6.61;2.03;4.65;0.15;30;162.3;132.2;3023;2677;3334;3657;242.11;74.25;83.98;25.75;207.69;63.69;118.4;36.31;155.35;47.64;105.14;32.24;65.61;20.12;0;1
blue;;slothgod22;Epic;6b0d6ca8d600491da34607e97998e729;23;Octane;330;353;1;0;1;4;10;6;4;25;350;42.85;1869;1431;438;16;37;616;467;149;5;13;82.86;19.03;338;175;40;1549;458260;140.6;42.74;159.28;48.41;29.12;8.85;202.73;61.62;116.69;35.47;9.58;2.91;2.48;0.13;19;135.2;162.4;2574;2636;2497;3657;226.71;68.91;102.29;31.09;204.3;62.1;124.7;37.9;160.94;48.92;88.52;26.91;79.53;24.17;1;0
orange;;Aurum;Steam;76561198854511814;23;Octane;330;707;5;0;0;7;9;3;1;71.43;375;52.4;1883;1289;594;18;44;557;410;147;5;12;19.26;52.14;317;499;65;1439;419764;181.77;55.67;106.89;32.74;37.86;11.6;205.47;62.93;110.44;33.82;10.6;3.25;5.59;0.12;45;107.7;185.9;2263;2049;2482;3674;217.12;66.5;109.39;33.5;188.04;57.59;138.48;42.41;136.73;41.88;105.6;32.34;84.18;25.78;1;1
orange;;Hotsaucethepirate;Steam;76561198326299326;403;Dominus;330;560;1;2;3;3;9;3;2;33.33;295;59.39;1711;1266;445;19;44;284;184;100;2;10;23.56;68.73;164;620;24;1379;407535;192.85;58.5;115.79;35.12;21.02;6.38;223.98;67.94;98.58;29.9;7.1;2.15;4.51;0.12;38;196.8;108.2;2950;2925;2968;3674;253.52;76.9;76.15;23.1;232.2;70.43;97.47;29.57;180.86;54.86;91.2;27.66;57.61;17.48;0;0
