color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;TJ;Psynet;0d2ba790039ca956;1018;Dominus GT;362;196;1;0;1;1;4;5;3;100;188;42.71;466;342;124;4;11;148;96;52;1;5;11.28;17.82;120;66;12;1202;179964;127.38;69.82;49.34;27.05;5.71;3.13;110.55;60.6;68;37.28;3.87;2.12;2.43;0.49;5;104;72.3;2006;1620;2275;1852;113.72;62.34;68.7;37.66;121.3;66.49;61.12;33.51;99.07;54.31;46.32;25.39;37.04;20.3;0;0
blue;;Orangesig32;Epic;1e9b7c9e60e6404786a7ba56d9bbad52;4284;Fennec;362;194;0;0;0;4;4;5;2;0;314;30.27;1573;1081;492;13;42;440;316;124;4;11;181.65;13.05;266;107;83;1275;421829;221.08;61.75;115.63;32.3;21.3;5.95;202.07;56.44;152.35;42.55;3.6;1.01;1.1;0.28;4;250.1;273.1;1535;1194;1818;1852;195.74;54.67;162.28;45.33;221.05;61.74;136.96;38.26;162.62;45.42;98.49;27.51;96.91;27.07;0;0
orange;;FALCON C0D;XBox;c06a5c16f4010900;403;Dominus;362;686;3;2;2;2;5;1;1;150;305;46.61;1649;1207;442;13;39;465;200;265;2;24;24.23;31.79;475;92;0;1299;430480;214.13;59.2;121.11;33.49;26.44;7.31;220.99;61.1;123.86;34.24;16.84;4.66;1.21;0.4;3;191;166.8;2288;2197;2375;2616;264.27;73.07;97.42;26.93;200.34;55.39;161.35;44.61;161.59;44.68;96.28;26.62;103.81;28.7;0;0
orange;;burkeyboy_23;PS4;burkeyboy_23;600;Ripper;362;375;2;0;1;2;5;1;0;100;165;51.82;1249;920;329;13;28;324;215;109;3;9;21.12;118.66;460;387;84;1258;416864;249.99;69.15;90.7;25.09;20.83;5.76;276.28;76.42;82.82;22.91;2.42;0.67;1.04;0.52;2;158.7;185.3;2595;2123;3103;2616;257.11;71.12;104.4;28.88;209.19;57.86;152.33;42.14;151.96;42.03;107.92;29.85;101.64;28.11;0;0
