color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Orangesig32;Epic;1e9b7c9e60e6404786a7ba56d9bbad52;4284;Fennec;44;2;0;0;0;0;3;3;0;0;308;35.23;126;100;26;1;3;0;0;0;0;0;5.8;0.6;0;0;0;1206;25698;20.89;72.06;7.81;26.94;0.29;1;21.21;73.19;7.77;26.81;0;0;0;0;0;31;7.1;3418;2717;3661;2679;17.61;60.77;11.37;39.23;26.41;91.13;2.57;8.87;20.33;70.15;8.65;29.85;0;0;0;0
blue;;Glokk9ine 55;XBox;8786da26f5010900;23;Octane;44;2;0;0;0;0;3;3;3;0;243;36.62;148;100;48;1;4;112;100;12;1;1;19.59;0.72;0;0;0;1312;45063;30.97;70.45;11.31;25.73;1.68;3.82;33.2;75.52;10.76;24.48;0;0;0.71;0.36;2;17.1;23.2;3655;1974;4494;2679;20.24;46.04;23.72;53.96;36.49;83.01;7.47;16.99;25.43;57.85;13.72;31.21;4.81;10.94;0;0
orange;;Luaig 3s;Epic;1fe5e8db0c794e5fa7bf3aa9e1d220c5;23;Octane;44;318;2;1;0;2;0;0;0;100;378;25.75;136;78;58;1;5;34;0;34;0;3;5.57;1.84;51;21;0;1523;52288;24.79;56.39;16.08;36.58;3.09;7.03;20.38;46.36;19.57;44.52;4.01;9.12;0.62;0.05;12;10.1;20.6;2427;2157;2712;2775;42.46;96.61;1.49;3.39;21.75;49.49;22.2;50.51;17.53;39.88;10.84;24.66;15.59;35.46;0;0
orange;;Princess;Epic;c4dfceb88e804a3b84c529ef5e2d8a73;24;Paladin;44;112;1;0;0;1;0;0;0;100;233;20.47;47;0;47;0;4;35;0;35;0;3;0.93;0;8;0;0;1469;48481;25.5;58.07;16.07;36.6;2.34;5.33;28.86;65.73;12.39;28.22;2.66;6.06;1.84;0.18;10;24.5;10.3;2641;2741;2576;2775;41.95;95.56;1.95;4.44;21.54;49.07;22.36;50.93;17.26;39.31;11.38;25.92;15.27;34.78;0;0
