color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;SBK_39;Epic;ae6ec7d11e3240f58d7740c98541b3a1;4284;Fennec;351;713;3;1;2;4;3;1;1;75;454;47.79;2528;1863;665;23;57;758;500;258;5;22;50.84;33.48;258;448;4;1488;490523;167.37;47.65;139.52;39.72;44.38;12.63;184.46;52.51;134.39;38.26;32.42;9.23;3.11;0.16;20;164.1;173;1978;1902;2081;2953;251.65;71.64;99.62;28.36;207.49;59.07;143.79;40.93;156.86;44.66;110.62;31.49;83.79;23.85;0;0
blue;;AndyIWX;XBox;a1bd5f7afd010900;23;Octane;351;406;1;2;0;3;3;1;0;33.33;362;49.43;2199;1719;480;20;42;208;0;208;0;18;45.24;34.1;578;203;3;1494;482720;160.03;45.94;145.38;41.74;42.91;12.32;211.77;60.8;121.41;34.86;15.14;4.35;3.9;0.14;27;172.7;160.5;2310;2181;2528;2953;251.08;72.08;97.24;27.92;202.19;58.05;146.13;41.95;162.37;46.62;92.38;26.52;93.57;26.86;0;1
orange;;BOB0S11;Epic;24ab890b9efa465899da75027c4a9d42;4284;Fennec;351;467;1;0;3;2;7;4;3;50;340;53.23;1787;1465;322;18;29;127;0;127;0;12;45.48;45.37;263;347;7;1525;500212;160.88;45.8;143.68;40.9;46.71;13.3;197.87;56.33;129.39;36.83;24.01;6.84;5.67;0.09;64;174.3;159.8;2302;2146;2402;2984;260.92;74.28;90.35;25.72;227.05;64.64;124.22;35.36;178.33;50.77;85.32;24.29;87.62;24.94;1;0
orange;;C.Reach_Around;Epic;12d18acb686a402caec3a5a1cc0aee22;4284;Fennec;351;110;0;0;0;1;7;4;1;0;278;38.73;1482;616;866;8;67;226;100;126;1;11;40.43;16.49;87;179;0;1321;431298;202.61;57.68;131.93;37.56;16.7;4.75;228.08;64.94;120.12;34.2;3.04;0.87;7.56;0.17;44;159.6;173.7;2756;2560;2876;2984;235.87;67.16;115.36;32.84;227.55;64.78;123.69;35.22;173.89;49.51;100.11;28.5;77.24;21.99;0;0
