color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;GoofysPipe;PS4;GoofysPipe;10901;Shokunin GXT;372;985;3;1;5;2;11;3;2;150;396;50.59;2338;1774;564;24;53;733;470;263;7;25;17.95;43.51;328;652;247;1416;483169;196.38;52.88;140.66;37.88;34.32;9.24;231.98;62.47;128.67;34.65;10.7;2.88;8.25;0.2;41;171.8;180.5;2106;2199;1992;2672;268.06;72.19;103.29;27.81;224.2;60.37;147.15;39.63;179.98;48.47;103.51;27.87;87.86;23.66;2;0
blue;;C.Reach_Around;Epic;12d18acb686a402caec3a5a1cc0aee22;4284;Fennec;372;284;1;1;0;2;11;3;1;50;233;39.68;1486;699;787;9;68;529;315;214;5;19;17.57;20.95;79;142;121;1228;410807;249.85;67.49;103.74;28.02;16.59;4.48;255.59;69.04;107.23;28.97;7.37;1.99;4.04;0.12;33;183;167.2;2572;2792;2353;2672;259.85;70.2;110.33;29.8;235.42;63.6;134.76;36.4;190.8;51.54;90.93;24.56;88.46;23.9;2;0
orange;;Blues0;Epic;122c77e09ad6483fa5a8282abbebcf66;4284;Fennec;372;567;3;0;0;6;4;4;3;50;325;35.47;1606;955;651;11;58;765;491;274;5;24;88.05;24.96;233;160;15;1419;476072;197.88;54.16;130.36;35.68;37.09;10.15;230.97;63.22;125.01;34.22;9.36;2.56;6.56;0.31;21;170;181.7;2513;2349;2648;3132;252.69;69.17;112.65;30.83;215.45;58.97;149.89;41.03;169.82;46.48;97.46;26.68;98.06;26.84;0;2
orange;;ButterHim;Epic;7095a70fd29c4484bac56af803b1b68c;4284;Fennec;372;352;0;2;0;5;4;4;1;0;317;57.22;1921;1341;580;19;55;401;152;249;3;22;21.76;67.56;169;624;163;1369;458326;222.93;61.04;124.77;34.16;17.5;4.79;247.19;67.69;108.39;29.68;9.62;2.63;5.47;0.12;45;184.9;168.6;2832;2813;2863;3132;245.71;67.28;119.49;32.72;236.79;64.84;128.41;35.16;194.74;53.32;84.96;23.26;85.5;23.41;0;2
