color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;b_a_s_7070;PS4;b_a_s_7070;4284;Fennec;224;301;1;0;1;3;6;4;2;33.33;357;52.66;1218;1000;218;12;21;189;154;35;2;3;45.01;30.66;337;216;45;1368;235538;138.65;62.55;64.01;28.87;19.02;8.58;134.92;60.86;78.67;35.49;8.09;3.65;0.56;0.14;4;183.9;144.7;2756;2366;3058;3494;169.72;76.56;51.96;23.44;176.12;79.45;45.56;20.55;148.32;66.91;45.72;20.62;27.64;12.47;0;1
blue;;*********;PS4;*********;23;Octane;224;20;0;0;0;0;6;4;2;0;291;37.07;377;283;94;3;8;47;0;47;0;4;9.12;9.01;95;16;0;1277;119027;104.24;75.25;26.54;19.16;7.75;5.59;92.92;67.08;44.06;31.81;1.55;1.12;0.32;0.32;1;59.1;74.4;2588;2262;2717;3494;85;61.36;53.53;38.64;107.03;77.26;31.5;22.74;85.26;61.54;35.43;25.57;17.85;12.88;0;0
orange;;GoofysPipe;PS4;GoofysPipe;10901;Shokunin GXT;224;773;4;0;2;5;3;1;0;80;395;47.88;1355;947;408;13;34;453;235;218;3;18;15.63;32.36;263;352;64;1337;262932;132.82;60.27;66.87;30.34;20.69;9.39;144.2;65.43;70.37;31.93;5.82;2.64;2.47;0.22;11;97.6;107.5;2051;1849;2558;2835;173.92;78.91;46.47;21.09;118.59;53.81;101.8;46.19;85.98;39.01;65.45;29.7;68.95;31.29;1;0
orange;;C.Reach_Around;Epic;12d18acb686a402caec3a5a1cc0aee22;4284;Fennec;224;48;0;0;0;1;3;1;1;0;244;32.21;775;291;484;4;42;219;87;132;1;11;28.13;19.41;45;117;12;1356;269592;137.87;62.11;71.25;32.1;12.84;5.78;163.51;73.67;49.93;22.5;8.52;3.84;3.57;0.19;19;110.7;101.2;2536;2342;2704;2835;159.68;71.94;62.28;28.06;131.95;59.45;90.01;40.55;98.42;44.34;67.22;30.28;56.32;25.37;0;0
