color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;TanCormorant8490;PS4;TanCormorant8490;23;Octane;335;364;1;0;0;4;2;2;2;25;315;53.73;1808;1478;330;18;28;475;338;137;4;12;22.72;79.57;342;321;61;1419;450141;159.37;47.95;145.62;43.81;27.4;8.24;193.14;58.1;136.01;40.92;3.25;0.98;1.13;0.23;5;176.5;152.3;2174;2145;2140;2695;248.24;74.68;84.15;25.32;194.16;58.41;138.24;41.59;135.93;40.89;113.62;34.18;82.85;24.92;0;1
blue;;eikofr;Steam;76561198341973113;4284;Fennec;335;144;0;0;0;2;2;2;0;0;155;56.17;830;329;501;6;45;248;23;225;1;20;24.68;54.26;43;289;84;1232;390438;232.5;69.74;92.77;27.83;8.12;2.44;225.44;67.62;107.95;32.38;0;0;6.6;0.35;19;154.8;176.3;2131;2080;2107;2695;245.44;73.62;87.95;26.38;183.8;55.13;149.59;44.87;130.72;39.21;107.55;32.26;95.12;28.53;0;0
orange;;tellyc3;PS4;tellyc3;4781;Peregrine TT;335;424;1;1;2;1;6;1;0;100;251;53.14;1520;1082;438;14;41;570;409;161;5;15;7.54;47.96;285;350;107;1269;404694;202.55;60.4;104.78;31.25;27.99;8.35;221.67;66.11;112.07;33.42;1.58;0.47;2.8;0.47;6;190.2;142.3;2462;2519;2385;3174;253.03;75.46;82.29;24.54;228.52;68.15;106.79;31.85;184.3;54.96;87.04;25.96;63.98;19.08;1;0
orange;;Totoz2938;PS4;Totoz2938;403;Dominus;335;393;1;0;2;1;6;1;1;100;221;59;1334;931;403;13;36;245;151;94;2;9;22.17;71.37;285;386;50;1283;408707;214.38;63.9;99.57;29.68;21.52;6.41;235.64;70.24;96.59;28.79;3.24;0.97;1.95;0.22;9;143.9;184.7;2529;2187;2895;3174;245.98;73.33;89.48;26.67;226.3;67.46;109.16;32.54;166.78;49.72;103.81;30.95;64.87;19.34;0;0
