color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Il Barba9897;XBox;1e1ecb06fb010900;8566;Emperor II: Scorched;337;422;2;0;1;4;3;1;1;50;299;54.85;1701;1320;381;19;33;324;206;118;3;10;37.59;63.34;577;583;95;1462;450353;174.2;51.59;126.93;37.59;36.53;10.82;198.62;58.82;127.94;37.89;11.1;3.29;2.57;0.17;15;171;160.6;2168;2102;2264;3062;228.98;67.81;108.68;32.19;200.03;59.24;137.62;40.76;157.27;46.58;89.06;26.38;91.32;27.05;0;0
blue;;calogero3009;PS4;calogero3009;403;Dominus;337;200;0;0;0;1;3;1;0;0;304;47.51;1614;1054;560;12;50;671;379;292;5;26;40.43;42.76;218;167;136;1392;446378;190.72;56.58;111.17;32.98;35.2;10.44;222.78;66.09;112.91;33.5;1.4;0.42;8.57;0.17;50;175.3;163.2;2258;2197;2340;3062;253.99;75.35;83.1;24.65;177.7;52.72;159.39;47.28;133.87;39.71;98.13;29.11;105.09;31.18;0;0
orange;;Dr.At0mic 0;Epic;099fc10a5856425981553c1894155854;4284;Fennec;337;593;1;0;4;3;5;2;2;33.33;377;55.64;2120;1768;352;22;31;373;289;84;4;8;35.7;50.1;310;374;115;1309;418187;198.79;59.38;114.12;34.09;21.88;6.54;190.15;56.8;138.15;41.26;6.49;1.94;5.3;0.23;23;330;330.2;1638;1298;1889;3229;258.79;77.3;75.99;22.7;220.62;65.9;114.17;34.1;184.49;55.11;61.06;18.24;89.24;26.66;0;0
orange;;DR.J;Psynet;24dc0f85ad08b1bb;403;Dominus;337;0;0;0;0;0;5;2;0;0;0;33.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33.48;100;0;0;0;0;33.48;100;0;0;0;0;0;0;0;33.4;0;4982;7397;3700;3229;33.48;100;0;0;33.48;100;0;0;33.48;100;0;0;0;0;0;0
