color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;GaryMans1669;XBox;558d250e00000900;4284;Fennec;189;559;4;1;0;5;0;0;0;80;317;52.65;882;635;247;8;21;101;17;84;1;7;14.13;7.31;133;164;82;1404;226655;94.18;51.53;72.19;39.5;16.4;8.97;121.47;66.46;59.32;32.45;1.99;1.09;1.48;0.3;5;86.1;86.8;2559;2219;3030;2929;144.82;79.24;37.95;20.76;121.12;66.27;61.65;33.73;81.56;44.63;68.51;37.49;32.69;17.89;0;1
blue;;eikofr;Steam;76561198341973113;4284;Fennec;189;324;2;0;0;3;0;0;0;66.67;178;41.62;474;157;317;2;27;59;0;59;0;5;8.57;4.55;39;49;0;1147;182554;144.65;77.5;37.75;20.23;4.25;2.28;138.32;74.1;47.53;25.46;0.81;0.43;3.37;0.34;10;86.4;86.1;2256;2226;2091;2929;153.53;82.25;33.13;17.75;124.05;66.46;62.61;33.54;82.68;44.3;75.31;40.35;28.66;15.35;0;0
orange;;shuagggg1234;PS4;shuagggg1234;23;Octane;189;288;0;0;3;0;8;6;4;0;232;37.76;620;348;272;4;24;72;0;72;0;6;20.48;8.75;80;51;0;1194;195837;132.63;70.75;45.09;24.05;9.75;5.2;136.81;72.98;46.91;25.02;3.75;2;1.66;0.83;2;144.8;119.4;2238;1864;2521;2699;141.1;75.27;46.37;24.73;137.42;73.3;50.06;26.7;104.96;55.99;61.58;32.85;20.93;11.16;1;0
orange;;lechazonigeriano;Epic;25a409891f7e4f59bbf16f8dc8c07cfa;403;Dominus;189;44;0;0;0;0;8;6;2;0;358;56;472;382;90;5;8;98;68;30;1;3;8.72;11.18;68;123;38;1478;96621;34.43;47.15;34.66;47.47;3.93;5.38;41.47;56.79;25.94;35.52;5.61;7.68;0.95;0.24;4;20.6;46.2;1750;1462;1985;2699;49.49;67.78;23.53;32.22;40.55;55.53;32.47;44.47;29.35;40.19;23.29;31.9;20.38;27.91;0;0
