color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Erwxn24;XBox;18c77b18fe010900;4284;Fennec;355;246;1;0;0;3;7;4;3;33.33;298;56.87;1708;1260;448;16;40;219;100;119;1;10;27.14;52.76;118;359;1;1374;392845;199.12;58.53;109.12;32.08;31.95;9.39;220.2;64.73;103.57;30.44;16.42;4.83;3.26;0.19;17;199.2;147.7;2681;2648;2703;3015;247.79;72.84;92.39;27.16;255.12;75;85.06;25;205.86;60.52;91.81;26.99;42.51;12.5;0;0
blue;;jullio2307;PS4;jullio2307;4284;Fennec;355;172;0;0;1;1;7;4;1;0;279;54.2;1785;1347;438;17;37;212;129;83;2;7;27.39;46.61;139;358;70;1317;415834;213.86;60.32;118.71;33.48;21.96;6.19;252.16;71.12;89.6;25.27;12.78;3.6;1.21;0.09;13;188;200.4;2464;2111;2756;3015;220.24;62.12;134.29;37.88;257.95;72.76;96.59;27.24;197.83;55.8;108.77;30.68;47.94;13.52;2;0
orange;;TheGodlySpirits;Epic;99df9b13f7484d0282bc96bc66f45aad;4284;Fennec;355;775;3;1;1;5;4;1;1;60;284;53.66;1834;1411;423;22;38;429;254;175;4;15;13.54;139.54;160;724;57;1475;484323;182.42;51.89;136.3;38.77;32.82;9.34;207.86;59.13;115.92;32.97;27.76;7.9;3.24;0.17;19;169.9;171.3;2509;2141;3188;3478;278.95;79.35;72.59;20.65;201.99;57.46;149.55;42.54;131.95;37.53;128.07;36.43;91.52;26.03;0;1
orange;;Vemlov;Epic;fddb37bd6d4648789b9b8a9d2c73ac3c;4284;Fennec;355;458;1;2;2;2;4;1;0;50;300;56.59;1721;1290;431;15;40;332;180;152;2;16;35.28;42.59;110;222;28;1352;442186;201.66;57.44;114.64;32.65;34.79;9.91;224.39;63.91;119.16;33.94;7.55;2.15;16.43;0.27;61;173.3;166.2;2760;2712;2782;3478;273.95;78.03;77.14;21.97;223.5;63.66;127.59;36.34;158.45;45.13;123.47;35.17;69.17;19.7;0;1
