color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;NapalmStriker22;XBox;602cca70fe010900;10901;Shokunin GXT;198;505;3;0;1;3;1;0;0;100;268;42.16;690;416;274;5;24;148;58;90;1;8;11.42;22.75;66;95;47;1323;235965;124.2;62.74;62.21;31.43;11.55;5.83;127.81;64.56;67.71;34.2;2.44;1.23;1.39;0.17;8;57.6;130.3;2290;2219;2659;3625;135.51;68.45;62.45;31.55;122.3;61.78;75.65;38.22;84.6;42.74;67.41;34.05;45.94;23.21;0;0
blue;;BENDER     ;Steam;76561197964986303;4284;Fennec;198;316;2;1;0;2;1;0;0;100;312;57.53;1147;891;256;15;24;75;0;75;0;7;19.14;49.68;87;282;0;1375;237058;112.97;58.86;66.17;34.48;12.78;6.66;137.73;71.76;41.53;21.64;12.67;6.6;3.62;0.14;26;130.6;46.9;3394;3099;3493;3625;163.55;85.21;28.38;14.79;162.08;84.45;29.85;15.55;135.04;70.36;46.7;24.33;10.19;5.31;0;2
orange;;MaseMack-;PS4;MaseMack-;4284;Fennec;198;140;0;0;1;1;5;5;3;0;430;49.28;1474;1269;205;15;18;255;183;72;2;6;27.94;15.73;92;241;16;1549;276888;88.5;44.74;80.52;40.7;28.8;14.56;112.4;56.82;78.61;39.74;6.8;3.44;2.36;0.12;20;113.8;112.7;2709;2106;3006;3312;136.4;68.95;61.42;31.05;133.27;67.37;64.55;32.63;98.11;49.6;62.23;31.46;37.48;18.95;1;0
orange;;ezeckias-messi;PS4;ezeckias-messi;4284;Fennec;198;38;0;0;0;0;5;5;2;0;284;44.15;764;595;169;6;15;60;0;60;0;6;21.01;20.16;9;4;0;1412;178328;87.02;55.39;48.69;30.99;21.38;13.61;84.82;54;67.3;42.84;4.96;3.16;1.52;0.1;15;82.6;65;2529;2268;2752;3312;98.89;62.95;58.2;37.05;89.6;57.04;67.48;42.96;66.96;42.63;56.55;36;33.58;21.38;1;0
