color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
blue;;Platinum-Geo;Epic;e7f863e094f1496d8de59c1889d246fc;4284;Fennec;365;1049;5;0;1;12;3;1;0;41.67;281;49.68;1722;1074;648;17;56;761;361;400;5;35;19.86;40.88;404;630;143;1426;479789;190.88;52.4;146.05;40.09;27.35;7.51;228.91;62.84;129.8;35.63;5.57;1.53;6.51;0.19;35;158.7;187.5;1715;1590;1867;2625;252.76;69.39;111.52;30.61;158.24;43.44;206.04;56.56;121.85;33.45;87.25;23.95;155.18;42.6;0;0
blue;;Caleb_HMS;Steam;76561198127696401;12105;;365;96;0;0;0;2;3;1;1;0;141;41.09;886;179;707;3;62;262;38;224;1;20;29.38;20.11;185;134;67;1293;429342;250.87;69.43;94.02;26.02;16.45;4.55;259.34;71.77;96.06;26.58;5.94;1.64;0;0;0;191.4;154;2521;2681;2269;2625;238.34;65.96;122.99;34.04;171.75;47.53;189.58;52.47;121.15;33.53;116.07;32.12;124.12;34.35;1;1
orange;;josx7_xs;Epic;7990d3458581446aac9e6ba9e652bf6a;23;Octane;365;595;0;1;4;2;14;5;3;0;209;56.42;1417;1123;294;16;25;367;200;167;2;14;20.88;128.93;367;402;0;1207;380385;245.89;68.05;86.59;23.96;28.88;7.99;227.36;62.92;124.48;34.45;9.53;2.64;2.44;0.81;3;282.4;253;2590;1856;3031;2760;274.87;76.06;86.5;23.94;272.29;75.35;89.07;24.65;244.11;67.55;51.12;14.15;66.14;18.3;0;1
orange;;dans0823;PS4;dans0823;23;Octane;365;182;1;0;0;1;14;5;2;100;225;40.19;679;399;280;5;24;242;164;78;2;7;18.49;18.12;100;104;35;1293;211350;146.79;66.11;71.51;32.2;3.75;1.69;165.82;74.68;53.54;24.11;2.69;1.21;0.37;0.18;2;223.6;132.8;2352;2055;2532;2760;143.66;64.7;78.39;35.3;141.96;63.93;80.09;36.07;113.9;51.3;54.76;24.66;53.38;24.04;1;0
